"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length"
"PCOAH_00000120","PCOAH_00000120-t30_1","Plasmodium coatneyi Hackeri","CP016239:55,364..56,765(+)","Uncharacterized protein","no","null","PCOAH_00000120","null","Uncharacterized protein","1","CP016239:55364..56765(+)","CP016239","6","OG6r1_102870","5","3","3","1","null","null","forward","protein coding","No","1176"
"PCOAH_00000130","PCOAH_00000130-t30_1","Plasmodium coatneyi Hackeri","CP016239:59,734..60,765(+)","Uncharacterized protein","no","null","PCOAH_00000130","null","Uncharacterized protein","1","CP016239:59734..60765(+)","CP016239","0","OG6r1_335539","0","1","1","1","null","null","forward","protein coding","No","1032"
"PCOAH_00000140","PCOAH_00000140-t30_1","Plasmodium coatneyi Hackeri","CP016239:70,544..70,888(+)","Uncharacterized protein","no","null","PCOAH_00000140","null","Uncharacterized protein","1","CP016239:70544..70888(+)","CP016239","32","OG6_533511","0","1","1","1","null","null","forward","protein coding","No","345"
"PCOAH_00000150","PCOAH_00000150-t30_1","Plasmodium coatneyi Hackeri","CP016239:74,180..74,678(-)","Uncharacterized protein","no","null","PCOAH_00000150","null","Uncharacterized protein","1","CP016239:74180..74678(-)","CP016239","17","OG6r1_101010","0","2","2","1","null","null","reverse","protein coding","No","312"
"PCOAH_00000160","PCOAH_00000160-t30_1","Plasmodium coatneyi Hackeri","CP016239:83,599..85,764(+)","Chitinase","no","null","PCOAH_00000160","null","Chitinase","1","CP016239:83599..85764(+)","CP016239","47","OG6_124694","0","2","2","1","null","null","forward","protein coding","No","1956"
"PCOAH_00000170","PCOAH_00000170-t30_1","Plasmodium coatneyi Hackeri","CP016239:86,794..86,866(-)","tRNA-Ala","no","null","PCOAH_00000170","null","tRNA-Ala","1","CP016239:..(-)","CP016239","0","#N/A (orthology only determined for protein-coding genes)","0","1","1","1","null","null","reverse","tRNA encoding","No","73"
"PCOAH_00000180","PCOAH_00000180-t30_1","Plasmodium coatneyi Hackeri","CP016239:87,431..87,514(+)","tRNA-Tyr","no","null","PCOAH_00000180","null","tRNA-Tyr","1","CP016239:..(+)","CP016239","0","#N/A (orthology only determined for protein-coding genes)","0","2","2","1","null","null","forward","tRNA encoding","No","73"
"PCOAH_00000190","PCOAH_00000190-t30_1","Plasmodium coatneyi Hackeri","CP016239:89,012..89,889(-)","Uncharacterized protein","no","null","PCOAH_00000190","null","Uncharacterized protein","1","CP016239:89012..89889(-)","CP016239","42","OG6_127054","0","4","4","1","null","null","reverse","protein coding","No","324"
"PCOAH_00000200","PCOAH_00000200-t30_1","Plasmodium coatneyi Hackeri","CP016239:91,489..96,780(+)","Uncharacterized protein","no","null","PCOAH_00000200","null","Uncharacterized protein","1","CP016239:91489..96780(+)","CP016239","35","OG6_533740","0","1","1","1","null","null","forward","protein coding","No","5292"
"PCOAH_00000210","PCOAH_00000210-t30_1","Plasmodium coatneyi Hackeri","CP016239:97,512..98,048(+)","Uncharacterized protein","no","null","PCOAH_00000210","null","Uncharacterized protein","1","CP016239:97512..98048(+)","CP016239","44","OG6_102398","0","1","1","1","null","null","forward","protein coding","No","537"
"PCOAH_00000220","PCOAH_00000220-t30_1","Plasmodium coatneyi Hackeri","CP016239:99,033..102,866(-)","Uncharacterized protein","no","null","PCOAH_00000220","null","Uncharacterized protein","1","CP016239:99033..102866(-)","CP016239","43","OG6_184637","0","1","1","1","null","null","reverse","protein coding","No","3834"
"PCOAH_00000230","PCOAH_00000230-t30_1","Plasmodium coatneyi Hackeri","CP016239:104,531..104,965(+)","Uncharacterized protein","no","null","PCOAH_00000230","null","Uncharacterized protein","1","CP016239:104531..104965(+)","CP016239","44","OG6_532378","0","1","1","1","null","null","forward","protein coding","No","435"
"PCOAH_00000240","PCOAH_00000240-t30_1","Plasmodium coatneyi Hackeri","CP016239:106,045..108,155(-)","Uncharacterized protein","no","null","PCOAH_00000240","null","Uncharacterized protein","1","CP016239:106045..108155(-)","CP016239","43","OG6_533132","0","2","2","1","null","null","reverse","protein coding","No","2013"
"PCOAH_00000250","PCOAH_00000250-t30_1","Plasmodium coatneyi Hackeri","CP016239:112,570..119,481(+)","Erythrocyte membrane-associated antigen","no","null","PCOAH_00000250","null","Erythrocyte membrane-associated antigen","1","CP016239:112570..119481(+)","CP016239","44","OG6_136626","0","1","1","1","null","null","forward","protein coding","No","6912"
"PCOAH_00000260","PCOAH_00000260-t30_1","Plasmodium coatneyi Hackeri","CP016239:121,005..123,724(+)","Uncharacterized protein","no","null","PCOAH_00000260","null","Uncharacterized protein","1","CP016239:121586..123724(+)","CP016239","43","OG6_116284","0","12","12","1","null","340","forward","protein coding","No","1144"
"PCOAH_00000270","PCOAH_00000270-t30_1","Plasmodium coatneyi Hackeri","CP016239:124,416..125,030(-)","Uncharacterized protein","no","null","PCOAH_00000270","null","Uncharacterized protein","1","CP016239:124416..125030(-)","CP016239","44","OG6_533711","0","1","1","1","null","null","reverse","protein coding","No","615"
"PCOAH_00000280","PCOAH_00000280-t30_1","Plasmodium coatneyi Hackeri","CP016239:128,295..131,065(+)","Uncharacterized protein","no","null","PCOAH_00000280","null","Uncharacterized protein","1","CP016239:128295..131065(+)","CP016239","77","OG6_110485","1","2","2","1","null","null","forward","protein coding","No","2640"
"PCOAH_00000290","PCOAH_00000290-t30_1","Plasmodium coatneyi Hackeri","CP016239:131,959..143,480(-)","Uncharacterized protein","no","null","PCOAH_00000290","null","Uncharacterized protein","1","CP016239:131959..143480(-)","CP016239","33","OG6_532527","0","2","2","1","null","null","reverse","protein coding","No","11397"
"PCOAH_00000300","PCOAH_00000300-t30_1","Plasmodium coatneyi Hackeri","CP016239:144,826..153,597(-)","Uncharacterized protein","no","null","PCOAH_00000300","null","Uncharacterized protein","1","CP016239:144826..153597(-)","CP016239","21","OG6_533070","0","1","1","1","null","null","reverse","protein coding","No","8772"
"PCOAH_00000310","PCOAH_00000310-t30_1","Plasmodium coatneyi Hackeri","CP016239:156,661..166,623(+)","Uncharacterized protein","no","null","PCOAH_00000310","null","Uncharacterized protein","1","CP016239:156661..166623(+)","CP016239","2","OG6_195383","0","1","1","1","null","null","forward","protein coding","No","9963"
"PCOAH_00000320","PCOAH_00000320-t30_1","Plasmodium coatneyi Hackeri","CP016239:167,319..170,510(-)","Uncharacterized protein","no","null","PCOAH_00000320","null","Uncharacterized protein","1","CP016239:167319..170510(-)","CP016239","44","OG6_101428","0","1","1","1","null","null","reverse","protein coding","No","3192"
"PCOAH_00000330","PCOAH_00000330-t30_1","Plasmodium coatneyi Hackeri","CP016239:173,491..179,079(+)","Uncharacterized protein","no","null","PCOAH_00000330","null","Uncharacterized protein","1","CP016239:173491..179079(+)","CP016239","4","OG6r1_113296","0","1","1","1","null","null","forward","protein coding","No","5589"
"PCOAH_00000340","PCOAH_00000340-t30_1","Plasmodium coatneyi Hackeri","CP016239:181,126..183,534(+)","WD domain G-beta repeat domain containing protein","no","null","PCOAH_00000340","null","WD domain G-beta repeat domain containing protein","1","CP016239:181126..183534(+)","CP016239","43","OG6_130929","0","1","1","1","null","null","forward","protein coding","No","2409"
"PCOAH_00000350","PCOAH_00000350-t30_1","Plasmodium coatneyi Hackeri","CP016239:185,330..186,788(+)","Uncharacterized protein","no","null","PCOAH_00000350","null","Uncharacterized protein","1","CP016239:185330..186788(+)","CP016239","508","OG6_100282","20","2","2","1","null","null","forward","protein coding","No","1266"
"PCOAH_00000360","PCOAH_00000360-t30_1","Plasmodium coatneyi Hackeri","CP016239:188,768..190,727(-)","Uncharacterized protein","no","null","PCOAH_00000360","null","Uncharacterized protein","1","CP016239:188768..190727(-)","CP016239","4","OG6_130735","0","2","2","1","null","null","reverse","protein coding","No","1737"
"PCOAH_00000370","PCOAH_00000370-t30_1","Plasmodium coatneyi Hackeri","CP016239:193,874..194,338(+)","Cytochrome c","no","null","PCOAH_00000370","null","Cytochrome c","1","CP016239:193874..194338(+)","CP016239","46","OG6_139429","1","1","1","1","null","null","forward","protein coding","No","465"
"PCOAH_00000380","PCOAH_00000380-t30_1","Plasmodium coatneyi Hackeri","CP016239:204,880..208,575(-)","Calcium-dependent protein kinase 3","no","null","PCOAH_00000380","null","Calcium-dependent protein kinase 3","1","CP016239:204880..208575(-)","CP016239","26","OG6_533317","0","1","1","1","null","null","reverse","protein coding","No","3696"
"PCOAH_00000390","PCOAH_00000390-t30_1","Plasmodium coatneyi Hackeri","CP016239:210,564..223,156(-)","Uncharacterized protein","no","null","PCOAH_00000390","null","Uncharacterized protein","1","CP016239:210564..223156(-)","CP016239","47","OG6_102181","0","8","8","1","null","null","reverse","protein coding","No","11259"
"PCOAH_00000400","PCOAH_00000400-t30_1","Plasmodium coatneyi Hackeri","CP016239:227,019..230,663(+)","Uncharacterized protein","no","null","PCOAH_00000400","null","Uncharacterized protein","1","CP016239:227019..230663(+)","CP016239","42","OG6_533652","0","1","1","1","null","null","forward","protein coding","No","3645"
"PCOAH_00000410","PCOAH_00000410-t30_1","Plasmodium coatneyi Hackeri","CP016239:231,138..234,981(-)","Uncharacterized protein","no","null","PCOAH_00000410","null","Uncharacterized protein","1","CP016239:231138..234981(-)","CP016239","40","OG6_137272","0","2","2","1","null","null","reverse","protein coding","No","3795"
"PCOAH_00000420","PCOAH_00000420-t30_1","Plasmodium coatneyi Hackeri","CP016239:236,256..237,260(-)","Peptidyl-trna hydrolase","no","null","PCOAH_00000420","null","Peptidyl-trna hydrolase","1","CP016239:236256..237260(-)","CP016239","44","OG6_104996","0","1","1","1","null","null","reverse","protein coding","No","1005"
"PCOAH_00000430","PCOAH_00000430-t30_1","Plasmodium coatneyi Hackeri","CP016239:238,433..241,810(-)","mRNA-capping enzyme","no","null","PCOAH_00000430","null","mRNA-capping enzyme","1","CP016239:238433..241810(-)","CP016239","43","OG6_102244","0","2","2","1","null","null","reverse","protein coding","No","3273"
"PCOAH_00000440","PCOAH_00000440-t30_1","Plasmodium coatneyi Hackeri","CP016239:244,044..246,305(+)","Uncharacterized protein","no","null","PCOAH_00000440","null","Uncharacterized protein","1","CP016239:244044..246305(+)","CP016239","38","OG6_532550","0","1","1","1","null","null","forward","protein coding","No","2262"
"PCOAH_00000450","PCOAH_00000450-t30_1","Plasmodium coatneyi Hackeri","CP016239:247,419..251,462(+)","Uncharacterized protein","no","null","PCOAH_00000450","null","Uncharacterized protein","1","CP016239:247419..251462(+)","CP016239","37","OG6_533280","0","1","1","1","null","null","forward","protein coding","No","4044"
"PCOAH_00000460","PCOAH_00000460-t30_1","Plasmodium coatneyi Hackeri","CP016239:252,819..255,285(+)","Origin recognition subunit","no","null","PCOAH_00000460","null","Origin recognition subunit","1","CP016239:252819..255285(+)","CP016239","46","OG6_102887","0","2","2","1","null","null","forward","protein coding","No","2439"
"PCOAH_00000470","PCOAH_00000470-t30_1","Plasmodium coatneyi Hackeri","CP016239:255,678..258,182(-)","DNA helicase","no","null","PCOAH_00000470","null","DNA helicase","1","CP016239:255678..258182(-)","CP016239","44","OG6_102101","0","1","1","1","null","null","reverse","protein coding","No","2505"
"PCOAH_00000480","PCOAH_00000480-t30_1","Plasmodium coatneyi Hackeri","CP016239:260,644..268,620(-)","Inositol phosphatase","no","null","PCOAH_00000480","null","Inositol phosphatase","1","CP016239:260644..268620(-)","CP016239","13","OG6_101787","0","2","2","1","null","null","reverse","protein coding","No","7836"
"PCOAH_00000490","PCOAH_00000490-t30_1","Plasmodium coatneyi Hackeri","CP016239:271,397..274,600(-)","Uncharacterized protein","no","null","PCOAH_00000490","null","Uncharacterized protein","1","CP016239:271397..274600(-)","CP016239","44","OG6_133057","0","1","1","1","null","null","reverse","protein coding","No","3204"
"PCOAH_00000500","PCOAH_00000500-t30_1","Plasmodium coatneyi Hackeri","CP016239:275,778..276,646(-)","30S ribosomal protein S14p/S29e","no","null","PCOAH_00000500","null","30S ribosomal protein S14p/S29e","1","CP016239:275778..276646(-)","CP016239","39","OG6_101365","0","3","3","1","null","null","reverse","protein coding","No","243"
"PCOAH_00000510","PCOAH_00000510-t30_1","Plasmodium coatneyi Hackeri","CP016239:277,691..279,867(-)","Uncharacterized protein","no","null","PCOAH_00000510","null","Uncharacterized protein","1","CP016239:277865..279707(-)","CP016239","37","OG6_101367","0","8","8","1","174","160","reverse","protein coding","No","958"
"PCOAH_00000520","PCOAH_00000520-t30_1","Plasmodium coatneyi Hackeri","CP016239:280,540..282,248(-)","ATPase subunit 9","no","null","PCOAH_00000520","null","ATPase subunit 9","1","CP016239:280709..281843(-)","CP016239","44","OG6_101507","0","4","4","1","169","405","reverse","protein coding","No","1075"
"PCOAH_00000530","PCOAH_00000530-t30_1","Plasmodium coatneyi Hackeri","CP016239:283,593..287,303(+)","Uncharacterized protein","no","null","PCOAH_00000530","null","Uncharacterized protein","1","CP016239:283593..287303(+)","CP016239","45","OG6_101190","0","1","1","1","null","null","forward","protein coding","No","3711"
"PCOAH_00000540","PCOAH_00000540-t30_1","Plasmodium coatneyi Hackeri","CP016239:287,660..292,983(-)","Uncharacterized protein","no","null","PCOAH_00000540","null","Uncharacterized protein","1","CP016239:287660..292983(-)","CP016239","4","OG6r1_113297","0","8","8","1","null","null","reverse","protein coding","No","4458"
"PCOAH_00000550","PCOAH_00000550-t30_1","Plasmodium coatneyi Hackeri","CP016239:293,945..294,489(+)","Uncharacterized protein","no","null","PCOAH_00000550","null","Uncharacterized protein","1","CP016239:293945..294489(+)","CP016239","39","OG6_107541","0","3","3","1","null","null","forward","protein coding","No","189"
"PCOAH_00000560","PCOAH_00000560-t30_1","Plasmodium coatneyi Hackeri","CP016239:295,335..295,887(+)","Uncharacterized protein","no","null","PCOAH_00000560","null","Uncharacterized protein","1","CP016239:295335..295887(+)","CP016239","10","OG6r1_103592","0","2","2","1","null","null","forward","protein coding","No","357"
"PCOAH_00000570","PCOAH_00000570-t30_1","Plasmodium coatneyi Hackeri","CP016239:296,906..297,184(-)","Ribosomal protein L37","no","null","PCOAH_00000570","null","Ribosomal protein L37","1","CP016239:296906..297184(-)","CP016239","43","OG6_100852","0","1","1","1","null","null","reverse","protein coding","No","279"
"PCOAH_00000580","PCOAH_00000580-t30_1","Plasmodium coatneyi Hackeri","CP016239:299,853..304,915(-)","Erythrocyte membrane protein","no","null","PCOAH_00000580","null","Erythrocyte membrane protein","1","CP016239:299853..304915(-)","CP016239","13","OG6r1_101847","0","2","2","1","null","null","reverse","protein coding","No","5022"
"PCOAH_00000590","PCOAH_00000590-t30_1","Plasmodium coatneyi Hackeri","CP016239:311,762..313,531(+)","Uncharacterized protein","no","null","PCOAH_00000590","null","Uncharacterized protein","1","CP016239:311762..313531(+)","CP016239","44","OG6_533031","0","1","1","1","null","null","forward","protein coding","No","1770"
"PCOAH_00000600","PCOAH_00000600-t30_1","Plasmodium coatneyi Hackeri","CP016239:314,465..317,032(+)","DNA mismatch-repair protein","no","null","PCOAH_00000600","null","DNA mismatch-repair protein","1","CP016239:314465..317032(+)","CP016239","88","OG6_102031","1","1","1","1","null","null","forward","protein coding","No","2568"
"PCOAH_00000610","PCOAH_00000610-t30_1","Plasmodium coatneyi Hackeri","CP016239:317,626..317,698(+)","tRNA-Thr","no","null","PCOAH_00000610","null","tRNA-Thr","1","CP016239:..(+)","CP016239","0","#N/A (orthology only determined for protein-coding genes)","0","1","1","1","null","null","forward","tRNA encoding","No","73"
"PCOAH_00000620","PCOAH_00000620-t30_1","Plasmodium coatneyi Hackeri","CP016239:318,460..318,531(-)","tRNA-His","no","null","PCOAH_00000620","null","tRNA-His","1","CP016239:..(-)","CP016239","0","#N/A (orthology only determined for protein-coding genes)","0","1","1","1","null","null","reverse","tRNA encoding","No","72"
"PCOAH_00000630","PCOAH_00000630-t30_1","Plasmodium coatneyi Hackeri","CP016239:319,407..319,479(+)","tRNA-Lys","no","null","PCOAH_00000630","null","tRNA-Lys","1","CP016239:..(+)","CP016239","0","#N/A (orthology only determined for protein-coding genes)","0","1","1","1","null","null","forward","tRNA encoding","No","73"
"PCOAH_00000640","PCOAH_00000640-t30_1","Plasmodium coatneyi Hackeri","CP016239:320,411..320,483(-)","tRNA-Lys","no","null","PCOAH_00000640","null","tRNA-Lys","1","CP016239:..(-)","CP016239","0","#N/A (orthology only determined for protein-coding genes)","0","1","1","1","null","null","reverse","tRNA encoding","No","73"
"PCOAH_00000650","PCOAH_00000650-t30_1","Plasmodium coatneyi Hackeri","CP016239:321,215..322,933(-)","Uncharacterized protein","no","null","PCOAH_00000650","null","Uncharacterized protein","1","CP016239:321215..322933(-)","CP016239","0","OG6r1_335572","0","1","1","1","null","null","reverse","protein coding","No","1719"
"PCOAH_00000660","PCOAH_00000660-t30_1","Plasmodium coatneyi Hackeri","CP016239:323,061..326,873(-)","Uncharacterized protein","no","null","PCOAH_00000660","null","Uncharacterized protein","1","CP016239:323061..326873(-)","CP016239","32","OG6_200844","0","1","1","1","null","null","reverse","protein coding","No","3813"
"PCOAH_00000670","PCOAH_00000670-t30_1","Plasmodium coatneyi Hackeri","CP016239:329,993..332,995(+)","Rhoptry associated membrane antigen","no","null","PCOAH_00000670","null","Rhoptry associated membrane antigen","1","CP016239:329993..332995(+)","CP016239","27","OG6_533765","0","6","6","1","null","null","forward","protein coding","No","2214"
"PCOAH_00000680","PCOAH_00000680-t30_1","Plasmodium coatneyi Hackeri","CP016239:334,845..336,875(+)","Putative 26s proteosome regulatory subunit","no","null","PCOAH_00000680","null","Putative 26s proteosome regulatory subunit","1","CP016239:334845..336875(+)","CP016239","44","OG6_103580","0","1","1","1","null","null","forward","protein coding","No","2031"
"PCOAH_00000690","PCOAH_00000690-t30_1","Plasmodium coatneyi Hackeri","CP016239:338,935..343,011(+)","Uncharacterized protein","no","null","PCOAH_00000690","null","Uncharacterized protein","1","CP016239:338935..343011(+)","CP016239","40","OG6_533526","0","1","1","1","null","null","forward","protein coding","No","4077"
"PCOAH_00000700","PCOAH_00000700-t30_1","Plasmodium coatneyi Hackeri","CP016239:344,091..345,032(+)","Reticulocyte binding protein","no","null","PCOAH_00000700","null","Reticulocyte binding protein","1","CP016239:344091..345032(+)","CP016239","44","OG6_134696","0","1","1","1","null","null","forward","protein coding","No","942"
"PCOAH_00000710","PCOAH_00000710-t30_1","Plasmodium coatneyi Hackeri","CP016239:348,007..351,009(+)","Erythrocyte membrane protein","no","null","PCOAH_00000710","null","Erythrocyte membrane protein","1","CP016239:348007..351009(+)","CP016239","44","OG6_103776","0","1","1","1","null","null","forward","protein coding","No","3003"
"PCOAH_00000720","PCOAH_00000720-t30_1","Plasmodium coatneyi Hackeri","CP016239:352,283..355,500(+)","Uncharacterized protein","no","null","PCOAH_00000720","null","Uncharacterized protein","1","CP016239:352283..355500(+)","CP016239","40","OG6_533224","0","3","3","1","null","null","forward","protein coding","No","2976"
"PCOAH_00000730","PCOAH_00000730-t30_1","Plasmodium coatneyi Hackeri","CP016239:356,728..357,507(+)","Uncharacterized protein","no","null","PCOAH_00000730","null","Uncharacterized protein","1","CP016239:356728..357507(+)","CP016239","44","OG6_102245","0","1","1","1","null","null","forward","protein coding","No","780"
"PCOAH_00000740","PCOAH_00000740-t30_1","Plasmodium coatneyi Hackeri","CP016239:358,803..361,429(+)","Uncharacterized protein","no","null","PCOAH_00000740","null","Uncharacterized protein","1","CP016239:358803..361429(+)","CP016239","43","OG6_107210","0","3","3","1","null","null","forward","protein coding","No","2313"
"PCOAH_00000750","PCOAH_00000750-t30_1","Plasmodium coatneyi Hackeri","CP016239:362,320..362,655(+)","Uncharacterized protein","no","null","PCOAH_00000750","null","Uncharacterized protein","1","CP016239:362320..362655(+)","CP016239","7","OG6_122890","0","1","1","1","null","null","forward","protein coding","No","336"
"PCOAH_00000760","PCOAH_00000760-t30_1","Plasmodium coatneyi Hackeri","CP016239:362,889..363,098(-)","DNA-directed RNA polymerase II 8.2 kDa polypeptide","no","null","PCOAH_00000760","null","DNA-directed RNA polymerase II 8.2 kDa polypeptide","1","CP016239:362889..363098(-)","CP016239","43","OG6_101548","0","1","1","1","null","null","reverse","protein coding","No","210"
"PCOAH_00000770","PCOAH_00000770-t30_1","Plasmodium coatneyi Hackeri","CP016239:364,016..367,023(-)","Uncharacterized protein","no","null","PCOAH_00000770","null","Uncharacterized protein","1","CP016239:364016..367023(-)","CP016239","40","OG6_533608","0","2","2","1","null","null","reverse","protein coding","No","2877"
"PCOAH_00000780","PCOAH_00000780-t30_1","Plasmodium coatneyi Hackeri","CP016239:367,901..369,253(+)","Bud32 protein kinase","no","null","PCOAH_00000780","null","Bud32 protein kinase","1","CP016239:367901..369253(+)","CP016239","44","OG6_101388","0","5","5","1","null","null","forward","protein coding","No","705"
"PCOAH_00000790","PCOAH_00000790-t30_1","Plasmodium coatneyi Hackeri","CP016239:372,198..374,936(+)","Heat shock protein 86","no","null","PCOAH_00000790","null","Heat shock protein 86","1","CP016239:372198..374936(+)","CP016239","94","OG6_100204","1","2","2","1","null","null","forward","protein coding","No","2241"
"PCOAH_00000800","PCOAH_00000800-t30_1","Plasmodium coatneyi Hackeri","CP016239:376,228..378,868(-)","Heat shock protein 86 family","no","null","PCOAH_00000800","null","Heat shock protein 86 family","1","CP016239:376228..378868(-)","CP016239","44","OG6_103179","0","2","2","1","null","null","reverse","protein coding","No","2541"
"PCOAH_00000810","PCOAH_00000810-t30_1","Plasmodium coatneyi Hackeri","CP016239:380,264..381,601(-)","Uncharacterized protein","no","null","PCOAH_00000810","null","Uncharacterized protein","1","CP016239:380264..381177(-)","CP016239","44","OG6_533281","0","2","2","1","null","424","reverse","protein coding","No","1186"
"PCOAH_00000820","PCOAH_00000820-t30_1","Plasmodium coatneyi Hackeri","CP016239:382,253..382,888(-)","Uncharacterized protein","no","null","PCOAH_00000820","null","Uncharacterized protein","1","CP016239:382253..382888(-)","CP016239","44","OG6_139486","0","1","1","1","null","null","reverse","protein coding","No","636"
"PCOAH_00000830","PCOAH_00000830-t30_1","Plasmodium coatneyi Hackeri","CP016239:386,440..389,115(+)","Uncharacterized protein","no","null","PCOAH_00000830","null","Uncharacterized protein","1","CP016239:386440..389115(+)","CP016239","43","OG6_100680","0","1","1","1","null","null","forward","protein coding","No","2676"
"PCOAH_00000840","PCOAH_00000840-t30_1","Plasmodium coatneyi Hackeri","CP016239:389,723..390,670(-)","Cloroquine resistance associated protein Cg3","no","null","PCOAH_00000840","null","Cloroquine resistance associated protein Cg3","1","CP016239:389723..390670(-)","CP016239","45","OG6_100983","0","1","1","1","null","null","reverse","protein coding","No","948"
"PCOAH_00000850","PCOAH_00000850-t30_1","Plasmodium coatneyi Hackeri","CP016239:393,039..396,288(+)","Putative chloroquine resistance transporter","no","null","PCOAH_00000850","null","Putative chloroquine resistance transporter","1","CP016239:393039..396288(+)","CP016239","52","OG6_107295","0","14","14","1","null","null","forward","protein coding","No","1275"
"PCOAH_00000860","PCOAH_00000860-t30_1","Plasmodium coatneyi Hackeri","CP016239:398,710..401,805(+)","Cg1 protein","no","null","PCOAH_00000860","null","Cg1 protein","1","CP016239:398710..401805(+)","CP016239","29","OG6_532507","0","1","1","1","null","null","forward","protein coding","No","3096"
"PCOAH_00000870","PCOAH_00000870-t30_1","Plasmodium coatneyi Hackeri","CP016239:402,498..410,896(-)","Uncharacterized protein","no","null","PCOAH_00000870","null","Uncharacterized protein","1","CP016239:402498..410896(-)","CP016239","38","OG6_156420","0","2","2","1","null","null","reverse","protein coding","No","8049"
"PCOAH_00000880","PCOAH_00000880-t30_1","Plasmodium coatneyi Hackeri","CP016239:411,878..415,490(-)","Uncharacterized protein","no","null","PCOAH_00000880","null","Uncharacterized protein","1","CP016239:411878..415490(-)","CP016239","41","OG6_533333","0","2","2","1","null","null","reverse","protein coding","No","3501"
"PCOAH_00000890","PCOAH_00000890-t30_1","Plasmodium coatneyi Hackeri","CP016239:416,538..417,133(+)","Uncharacterized protein","no","null","PCOAH_00000890","null","Uncharacterized protein","1","CP016239:416538..417133(+)","CP016239","44","OG6_532583","0","2","2","1","null","null","forward","protein coding","No","450"
