"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length","Transcript Product Description","Is Pseudo"
"PY17X_0100800","PY17X_0100800.1","P. yoelii yoelii 17X","Py17X_01_v3:102,948..104,041(-)","PIR protein","867","PIR protein","No"
"PY17X_0100900","PY17X_0100900.1","P. yoelii yoelii 17X","Py17X_01_v3:106,729..107,820(-)","PIR protein","882","PIR protein","No"
"PY17X_0101000","PY17X_0101000.1","P. yoelii yoelii 17X","Py17X_01_v3:111,688..113,234(+)","fam-a protein","906","fam-a protein","No"
"PY17X_0101100","PY17X_0101100.1","P. yoelii yoelii 17X","Py17X_01_v3:113,835..114,980(-)","PIR protein","921","PIR protein","No"
"PY17X_0101200","PY17X_0101200.1","P. yoelii yoelii 17X","Py17X_01_v3:117,656..118,602(-)","fam-b protein","780","fam-b protein","No"
"PY17X_0101221","PY17X_0101221.1","P. yoelii yoelii 17X","Py17X_01_v3:123,588..132,042(+)","reticulocyte binding protein, putative","8316","reticulocyte binding protein, putative","No"
"PY17X_0101241","PY17X_0101241.1","P. yoelii yoelii 17X","Py17X_01_v3:134,068..135,008(-)","fam-b protein","768","fam-b protein","No"
"PY17X_0101261","PY17X_0101261.1","P. yoelii yoelii 17X","Py17X_01_v3:136,454..137,397(-)","fam-b protein","777","fam-b protein","No"
"PY17X_0101300","PY17X_0101300.1","P. yoelii yoelii 17X","Py17X_01_v3:143,802..144,627(-)","fam-b protein","651","fam-b protein","No"
"PY17X_0101400","PY17X_0101400.1","P. yoelii yoelii 17X","Py17X_01_v3:149,620..150,332(+)","conserved rodent malaria protein, unknown function","447","conserved rodent malaria protein, unknown function","No"
"PY17X_0101500","PY17X_0101500.1","P. yoelii yoelii 17X","Py17X_01_v3:152,553..153,189(-)","fam-c protein","468","fam-c protein","No"
"PY17X_0101600","PY17X_0101600.1","P. yoelii yoelii 17X","Py17X_01_v3:154,594..155,265(-)","PIR protein, pseudogene","564","PIR protein, pseudogene","Yes"
"PY17X_0101700","PY17X_0101700.1","P. yoelii yoelii 17X","Py17X_01_v3:156,340..157,864(+)","fam-a protein","831","fam-a protein","No"
"PY17X_0101800","PY17X_0101800.1","P. yoelii yoelii 17X","Py17X_01_v3:159,279..160,477(+)","Plasmodium exported protein, unknown function","1026","Plasmodium exported protein, unknown function","No"
"PY17X_0101900","PY17X_0101900.1","P. yoelii yoelii 17X","Py17X_01_v3:163,246..164,562(+)","lysophospholipase, putative","1317","lysophospholipase, putative","No"
"PY17X_0102000","PY17X_0102000.1","P. yoelii yoelii 17X","Py17X_01_v3:166,801..168,734(+)","reticulocyte binding protein, putative","1836","reticulocyte binding protein, putative","No"
"PY17X_0102100","PY17X_0102100.1","P. yoelii yoelii 17X","Py17X_01_v3:170,042..171,469(-)","PIR protein","1056","PIR protein","No"
"PY17X_0102200","PY17X_0102200.1","P. yoelii yoelii 17X","Py17X_01_v3:172,852..173,355(+)","schizont membrane associated cytoadherence protein, putative","504","schizont membrane associated cytoadherence protein, putative","No"
"PY17X_0102300","PY17X_0102300.1","P. yoelii yoelii 17X","Py17X_01_v3:175,475..176,780(+)","Plasmodium exported protein, unknown function","1107","Plasmodium exported protein, unknown function","No"
"PY17X_0102400","PY17X_0102400.1","P. yoelii yoelii 17X","Py17X_01_v3:177,841..182,064(-)","zinc finger protein, putative","4224","zinc finger protein, putative","No"
"PY17X_0102500","PY17X_0102500.1","P. yoelii yoelii 17X","Py17X_01_v3:186,607..190,655(+)","ATP-dependent RNA helicase, putative","3930","ATP-dependent RNA helicase, putative","No"
"PY17X_0102600","PY17X_0102600.1","P. yoelii yoelii 17X","Py17X_01_v3:191,785..193,051(+)","MYND-type zinc finger protein, putative","789","MYND-type zinc finger protein, putative","No"
"PY17X_0102700","PY17X_0102700.1","P. yoelii yoelii 17X","Py17X_01_v3:194,055..195,008(+)","liver merozoite formation protein, putative","954","liver merozoite formation protein, putative","No"
"PY17X_0102800","PY17X_0102800.1","P. yoelii yoelii 17X","Py17X_01_v3:195,612..198,765(-)","elongation factor G, putative","2769","elongation factor G, putative","No"
"PY17X_0102900","PY17X_0102900.1","P. yoelii yoelii 17X","Py17X_01_v3:199,464..200,618(+)","geranylgeranyl transferase type-2 subunit beta, putative","1155","geranylgeranyl transferase type-2 subunit beta, putative","No"
"PY17X_0103000","PY17X_0103000.1","P. yoelii yoelii 17X","Py17X_01_v3:201,039..205,498(-)","SAC3 domain-containing protein, putative","3612","SAC3 domain-containing protein, putative","No"
"PY17X_0103100","PY17X_0103100.1","P. yoelii yoelii 17X","Py17X_01_v3:208,103..209,509(-)","conserved Plasmodium protein, unknown function","1407","conserved Plasmodium protein, unknown function","No"
"PY17X_0103200","PY17X_0103200.1","P. yoelii yoelii 17X","Py17X_01_v3:210,147..212,180(+)","JmjC domain-containing protein, putative","2034","JmjC domain-containing protein, putative","No"
"PY17X_0103300","PY17X_0103300.1","P. yoelii yoelii 17X","Py17X_01_v3:212,579..214,041(-)","conserved Plasmodium protein, unknown function","1338","conserved Plasmodium protein, unknown function","No"
"PY17X_0103400","PY17X_0103400.1","P. yoelii yoelii 17X","Py17X_01_v3:215,954..217,453(+)","conserved Plasmodium protein, unknown function","1500","conserved Plasmodium protein, unknown function","No"
"PY17X_0103500","PY17X_0103500.1","P. yoelii yoelii 17X","Py17X_01_v3:218,756..220,207(-)","RNA-binding protein, putative","1452","RNA-binding protein, putative","No"
"PY17X_0103600","PY17X_0103600.1","P. yoelii yoelii 17X","Py17X_01_v3:222,508..223,935(+)","mitochondrial chaperone BCS1, putative","1428","mitochondrial chaperone BCS1, putative","No"
"PY17X_0103700","PY17X_0103700.1","P. yoelii yoelii 17X","Py17X_01_v3:224,508..226,046(-)","dihydroorotate dehydrogenase, putative","1539","dihydroorotate dehydrogenase, putative","No"
"PY17X_0103800","PY17X_0103800.1","P. yoelii yoelii 17X","Py17X_01_v3:227,299..230,004(-)","trophozoite exported protein 1, putative","2706","trophozoite exported protein 1, putative","No"
"PY17X_0103900","PY17X_0103900.1","P. yoelii yoelii 17X","Py17X_01_v3:233,214..234,536(+)","cation/H+ antiporter, putative","1323","cation/H+ antiporter, putative","No"
"PY17X_0104000","PY17X_0104000.1","P. yoelii yoelii 17X","Py17X_01_v3:235,254..241,347(-)","conserved Plasmodium protein, unknown function","5688","conserved Plasmodium protein, unknown function","No"
"PY17X_0104100","PY17X_0104100.1","P. yoelii yoelii 17X","Py17X_01_v3:243,154..244,620(+)","phenylalanine--tRNA ligase, putative","1467","phenylalanine--tRNA ligase, putative","No"
"PY17X_0104200","PY17X_0104200.1","P. yoelii yoelii 17X","Py17X_01_v3:244,658..252,753(-)","centrosomal protein CEP76, putative","5592","centrosomal protein CEP76, putative","No"
"PY17X_0104300","PY17X_0104300.1","P. yoelii yoelii 17X","Py17X_01_v3:253,649..254,767(-)","conserved Plasmodium protein, unknown function","1119","conserved Plasmodium protein, unknown function","No"
"PY17X_0104400","PY17X_0104400.1","P. yoelii yoelii 17X","Py17X_01_v3:256,010..260,380(-)","conserved Plasmodium protein, unknown function","4371","conserved Plasmodium protein, unknown function","No"
"PY17X_0104500","PY17X_0104500.1","P. yoelii yoelii 17X","Py17X_01_v3:261,713..267,139(-)","AP2 domain transcription factor, putative","5427","AP2 domain transcription factor, putative","No"
"PY17X_0104600","PY17X_0104600.1","P. yoelii yoelii 17X","Py17X_01_v3:271,208..271,952(+)","mitochondrial ribosomal protein L41, putative","282","mitochondrial ribosomal protein L41, putative","No"
"PY17X_0104700","PY17X_0104700.1","P. yoelii yoelii 17X","Py17X_01_v3:272,690..274,627(+)","conserved Plasmodium protein, unknown function","1938","conserved Plasmodium protein, unknown function","No"
"PY17X_0104800","PY17X_0104800.1","P. yoelii yoelii 17X","Py17X_01_v3:275,621..276,768(+)","conserved protein, unknown function","582","conserved protein, unknown function","No"
"PY17X_0104900","PY17X_0104900.1","P. yoelii yoelii 17X","Py17X_01_v3:279,834..286,465(+)","conserved Plasmodium protein, unknown function","6183","conserved Plasmodium protein, unknown function","No"
"PY17X_0105000","PY17X_0105000.1","P. yoelii yoelii 17X","Py17X_01_v3:287,035..288,624(-)","glyoxalase I-like protein GILP, putative","933","glyoxalase I-like protein GILP, putative","No"
"PY17X_0105100","PY17X_0105100.1","P. yoelii yoelii 17X","Py17X_01_v3:289,393..293,610(-)","RAP protein, putative","4218","RAP protein, putative","No"
"PY17X_0105200","PY17X_0105200.1","P. yoelii yoelii 17X","Py17X_01_v3:294,451..295,117(-)","conserved Plasmodium protein, unknown function","288","conserved Plasmodium protein, unknown function","No"
"PY17X_0105300","PY17X_0105300.1","P. yoelii yoelii 17X","Py17X_01_v3:295,793..296,377(+)","50S ribosomal protein L24, putative","585","50S ribosomal protein L24, putative","No"
"PY17X_0105400","PY17X_0105400.1","P. yoelii yoelii 17X","Py17X_01_v3:300,162..302,390(+)","RNA-binding protein, putative","2229","RNA-binding protein, putative","No"
"PY17X_0105500","PY17X_0105500.1","P. yoelii yoelii 17X","Py17X_01_v3:303,476..304,886(-)","conserved protein, unknown function","636","conserved protein, unknown function","No"
"PY17X_0105600","PY17X_0105600.1","P. yoelii yoelii 17X","Py17X_01_v3:305,760..307,353(+)","serine/threonine protein kinase, putative","1062","serine/threonine protein kinase, putative","No"
"PY17X_0105700","PY17X_0105700.1","P. yoelii yoelii 17X","Py17X_01_v3:308,170..308,643(-)","calcium-binding protein, putative","474","calcium-binding protein, putative","No"
"PY17X_0105800","PY17X_0105800.1","P. yoelii yoelii 17X","Py17X_01_v3:308,866..310,942(-)","cyclin dependent kinase binding protein, putative","1884","cyclin dependent kinase binding protein, putative","No"
"PY17X_0105900","PY17X_0105900.1","P. yoelii yoelii 17X","Py17X_01_v3:311,329..317,605(-)","nucleoside diphosphate kinase, putative","5301","nucleoside diphosphate kinase, putative","No"
"PY17X_0106000","PY17X_0106000.1","P. yoelii yoelii 17X","Py17X_01_v3:319,564..320,346(+)","conserved Plasmodium protein, unknown function","783","conserved Plasmodium protein, unknown function","No"
"PY17X_0106100","PY17X_0106100.1","P. yoelii yoelii 17X","Py17X_01_v3:320,920..326,592(-)","DNA repair protein RAD50, putative","5673","DNA repair protein RAD50, putative","No"
"PY17X_0106200","PY17X_0106200.1","P. yoelii yoelii 17X","Py17X_01_v3:329,226..330,949(+)","long chain polyunsaturated fatty acid elongation enzyme, putative","867","long chain polyunsaturated fatty acid elongation enzyme, putative","No"
"PY17X_0106300","PY17X_0106300.1","P. yoelii yoelii 17X","Py17X_01_v3:331,578..334,505(-)","conserved Plasmodium protein, unknown function","2928","conserved Plasmodium protein, unknown function","No"
"PY17X_0106400","PY17X_0106400.1","P. yoelii yoelii 17X","Py17X_01_v3:337,491..339,819(+)","RNA-binding protein, putative","1803","RNA-binding protein, putative","No"
"PY17X_0106500","PY17X_0106500.1","P. yoelii yoelii 17X","Py17X_01_v3:340,989..341,829(-)","ubiquitin-conjugating enzyme E2 PEX4, putative","450","ubiquitin-conjugating enzyme E2 PEX4, putative","No"
"PY17X_0106600","PY17X_0106600.1","P. yoelii yoelii 17X","Py17X_01_v3:343,387..344,346(-)","conserved Plasmodium protein, unknown function","375","conserved Plasmodium protein, unknown function","No"
"PY17X_0106700","PY17X_0106700.1","P. yoelii yoelii 17X","Py17X_01_v3:345,368..348,104(-)","polypyrimidine tract-binding protein, putative","2106","polypyrimidine tract-binding protein, putative","No"
"PY17X_0106800","PY17X_0106800.1","P. yoelii yoelii 17X","Py17X_01_v3:350,211..356,177(-)","conserved Plasmodium protein, unknown function","5766","conserved Plasmodium protein, unknown function","No"
"PY17X_0106900","PY17X_0106900.1","P. yoelii yoelii 17X","Py17X_01_v3:359,093..363,603(+)","coatomer alpha subunit, putative","4143","coatomer alpha subunit, putative","No"
"PY17X_0107000","PY17X_0107000.1","P. yoelii yoelii 17X","Py17X_01_v3:364,654..365,304(-)","glutaredoxin-like protein","651","glutaredoxin-like protein","No"
"PY17X_0107100","PY17X_0107100.1","P. yoelii yoelii 17X","Py17X_01_v3:367,614..370,430(+)","translation initiation factor IF-2, putative","2817","translation initiation factor IF-2, putative","No"
"PY17X_0107200","PY17X_0107200.1","P. yoelii yoelii 17X","Py17X_01_v3:371,321..374,451(+)","MYND-type zinc finger protein, putative","1389","MYND-type zinc finger protein, putative","No"
"PY17X_0107300","PY17X_0107300.1","P. yoelii yoelii 17X","Py17X_01_v3:375,006..376,347(-)","RING zinc finger protein, putative","1173","RING zinc finger protein, putative","No"
"PY17X_0107400","PY17X_0107400.1","P. yoelii yoelii 17X","Py17X_01_v3:377,543..379,027(+)","uroporphyrinogen III decarboxylase, putative","1290","uroporphyrinogen III decarboxylase, putative","No"
"PY17X_0107500","PY17X_0107500.1","P. yoelii yoelii 17X","Py17X_01_v3:379,513..383,039(-)","G-protein associated signal transduction protein, putative","1902","G-protein associated signal transduction protein, putative","No"
"PY17X_0107600","PY17X_0107600.1","P. yoelii yoelii 17X","Py17X_01_v3:384,148..385,740(+)","4-hydroxybenzoate polyprenyltransferase, putative","1593","4-hydroxybenzoate polyprenyltransferase, putative","No"
"PY17X_0107700","PY17X_0107700.1","P. yoelii yoelii 17X","Py17X_01_v3:386,125..389,017(-)","spindle assembly abnormal protein 6, putative","2271","spindle assembly abnormal protein 6, putative","No"
"PY17X_0107800","PY17X_0107800.1","P. yoelii yoelii 17X","Py17X_01_v3:393,541..400,002(+)","conserved Plasmodium protein, unknown function","6462","conserved Plasmodium protein, unknown function","No"
"PY17X_0107900","PY17X_0107900.1","P. yoelii yoelii 17X","Py17X_01_v3:400,830..402,705(-)","GTP-binding protein, putative","1674","GTP-binding protein, putative","No"
"PY17X_0108000","PY17X_0108000.1","P. yoelii yoelii 17X","Py17X_01_v3:403,561..406,041(+)","conserved Plasmodium protein, unknown function","2481","conserved Plasmodium protein, unknown function","No"
"PY17X_0108100","PY17X_0108100.1","P. yoelii yoelii 17X","Py17X_01_v3:406,307..408,618(-)","diphthine methyltransferase, putative","1056","diphthine methyltransferase, putative","No"
"PY17X_0108200","PY17X_0108200.1","P. yoelii yoelii 17X","Py17X_01_v3:409,137..412,691(+)","conserved Plasmodium protein, unknown function","3555","conserved Plasmodium protein, unknown function","No"
"PY17X_0108300","PY17X_0108300.1","P. yoelii yoelii 17X","Py17X_01_v3:412,803..413,670(-)","conserved Plasmodium protein, unknown function","471","conserved Plasmodium protein, unknown function","No"
"PY17X_0108400","PY17X_0108400.1","P. yoelii yoelii 17X","Py17X_01_v3:414,281..417,664(+)","heptatricopeptide repeat-containing protein, putative","3384","heptatricopeptide repeat-containing protein, putative","No"
"PY17X_0108500","PY17X_0108500.1","P. yoelii yoelii 17X","Py17X_01_v3:418,267..419,613(+)","sorting assembly machinery 50 kDa subunit, putative","1347","sorting assembly machinery 50 kDa subunit, putative","No"
"PY17X_0108600","PY17X_0108600.1","P. yoelii yoelii 17X","Py17X_01_v3:420,093..420,501(-)","conserved Plasmodium protein, unknown function","309","conserved Plasmodium protein, unknown function","No"
"PY17X_0108700","PY17X_0108700.1","P. yoelii yoelii 17X","Py17X_01_v3:421,618..422,579(-)","proteasome subunit alpha type-2, putative","708","proteasome subunit alpha type-2, putative","No"
"PY17X_0108800","PY17X_0108800.1","P. yoelii yoelii 17X","Py17X_01_v3:424,523..425,805(+)","conserved Plasmodium protein, unknown function","894","conserved Plasmodium protein, unknown function","No"
"PY17X_0108900","PY17X_0108900.1","P. yoelii yoelii 17X","Py17X_01_v3:427,227..428,985(+)","T-complex protein 1 subunit zeta, putative","1632","T-complex protein 1 subunit zeta, putative","No"
"PY17X_0109000","PY17X_0109000.1","P. yoelii yoelii 17X","Py17X_01_v3:431,269..432,513(+)","ornithine aminotransferase, putative","1245","ornithine aminotransferase, putative","No"
"PY17X_0109100","PY17X_0109100.1","P. yoelii yoelii 17X","Py17X_01_v3:433,610..436,539(+)","conserved Plasmodium protein, unknown function","2709","conserved Plasmodium protein, unknown function","No"
"PY17X_0109200","PY17X_0109200.1","P. yoelii yoelii 17X","Py17X_01_v3:438,870..455,459(+)","nucleoporin NUP637, putative","16590","nucleoporin NUP637, putative","No"
"PY17X_0109300","PY17X_0109300.1","P. yoelii yoelii 17X","Py17X_01_v3:456,104..458,158(-)","zinc transporter ZIP1, putative","1035","zinc transporter ZIP1, putative","No"
"PY17X_0109400","PY17X_0109400.1","P. yoelii yoelii 17X","Py17X_01_v3:459,732..461,275(+)","citrate synthase-like protein, putative","1344","citrate synthase-like protein, putative","No"
"PY17X_0109500","PY17X_0109500.1","P. yoelii yoelii 17X","Py17X_01_v3:462,168..465,034(+)","conserved Plasmodium protein, unknown function","2556","conserved Plasmodium protein, unknown function","No"
"PY17X_0109600","PY17X_0109600.1","P. yoelii yoelii 17X","Py17X_01_v3:465,390..467,207(-)","mitochondrial cardiolipin synthase, putative","1818","mitochondrial cardiolipin synthase, putative","No"
"PY17X_0109700","PY17X_0109700.1","P. yoelii yoelii 17X","Py17X_01_v3:468,438..473,129(+)","conserved Plasmodium protein, unknown function","3321","conserved Plasmodium protein, unknown function","No"
"PY17X_0109800","PY17X_0109800.1","P. yoelii yoelii 17X","Py17X_01_v3:475,335..480,361(+)","conserved Plasmodium protein, unknown function","4773","conserved Plasmodium protein, unknown function","No"
"PY17X_0109900","PY17X_0109900.1","P. yoelii yoelii 17X","Py17X_01_v3:481,625..482,842(-)","palmitoyltransferase DHHC2, putative","855","palmitoyltransferase DHHC2, putative","No"
"PY17X_0110000","PY17X_0110000.1","P. yoelii yoelii 17X","Py17X_01_v3:485,819..491,038(+)","conserved Plasmodium protein, unknown function","5220","conserved Plasmodium protein, unknown function","No"
"PY17X_0110100","PY17X_0110100.1","P. yoelii yoelii 17X","Py17X_01_v3:491,813..492,997(+)","mitochondrial ribosomal protein L19 precursor, putative","951","mitochondrial ribosomal protein L19 precursor, putative","No"
"PY17X_0110200","PY17X_0110200.1","P. yoelii yoelii 17X","Py17X_01_v3:493,310..495,212(-)","pre-mRNA-splicing factor SLU7, putative","1305","pre-mRNA-splicing factor SLU7, putative","No"
"PY17X_0110300","PY17X_0110300.1","P. yoelii yoelii 17X","Py17X_01_v3:496,462..498,648(-)","RNA-binding protein 25, putative","2187","RNA-binding protein 25, putative","No"
"PY17X_0110400","PY17X_0110400.1","P. yoelii yoelii 17X","Py17X_01_v3:502,302..502,712(+)","histone H3, putative","411","histone H3, putative","No"
"PY17X_0110500","PY17X_0110500.1","P. yoelii yoelii 17X","Py17X_01_v3:503,199..503,764(-)","peptidyl-tRNA hydrolase PTRHD1, putative","372","peptidyl-tRNA hydrolase PTRHD1, putative","No"
"PY17X_0110600","PY17X_0110600.1","P. yoelii yoelii 17X","Py17X_01_v3:505,714..506,724(+)","conserved Plasmodium protein, unknown function","258","conserved Plasmodium protein, unknown function","No"
"PY17X_0110700","PY17X_0110700.1","P. yoelii yoelii 17X","Py17X_01_v3:507,007..509,019(+)","transketolase, putative","2013","transketolase, putative","No"
"PY17X_0110800","PY17X_0110800.1","P. yoelii yoelii 17X","Py17X_01_v3:509,911..513,504(-)","transcription elongation factor SPT5, putative","3594","transcription elongation factor SPT5, putative","No"
"PY17X_0110900","PY17X_0110900.1","P. yoelii yoelii 17X","Py17X_01_v3:515,274..516,411(-)","SNARE associated Golgi protein, putative","870","SNARE associated Golgi protein, putative","No"
"PY17X_0111000","PY17X_0111000.1","P. yoelii yoelii 17X","Py17X_01_v3:517,940..518,206(-)","succinate dehydrogenase subunit 3, putative","267","succinate dehydrogenase subunit 3, putative","No"
"PY17X_0111100","PY17X_0111100.1","P. yoelii yoelii 17X","Py17X_01_v3:519,223..520,342(+)","AP2 domain transcription factor, putative","840","AP2 domain transcription factor, putative","No"
"PY17X_0111200","PY17X_0111200.1","P. yoelii yoelii 17X","Py17X_01_v3:521,584..522,725(+)","ATP synthase-associated protein, putative","843","ATP synthase-associated protein, putative","No"
"PY17X_0111300","PY17X_0111300.1","P. yoelii yoelii 17X","Py17X_01_v3:523,117..525,528(-)","SWIB/MDM2 domain-containing protein, putative","2412","SWIB/MDM2 domain-containing protein, putative","No"
"PY17X_0111400","PY17X_0111400.1","P. yoelii yoelii 17X","Py17X_01_v3:532,940..534,055(-)","conserved protein, unknown function","1116","conserved protein, unknown function","No"
"PY17X_0111500","PY17X_0111500.1","P. yoelii yoelii 17X","Py17X_01_v3:535,439..537,343(-)","basal complex transmembrane protein 1, putative","1905","basal complex transmembrane protein 1, putative","No"
"PY17X_0111600","PY17X_0111600.1","P. yoelii yoelii 17X","Py17X_01_v3:538,699..539,178(-)","60S ribosomal protein L39, putative","156","60S ribosomal protein L39, putative","No"
"PY17X_0111700","PY17X_0111700.1","P. yoelii yoelii 17X","Py17X_01_v3:540,634..549,850(-)","conserved Plasmodium protein, unknown function","8619","conserved Plasmodium protein, unknown function","No"
"PY17X_0111800","PY17X_0111800.1","P. yoelii yoelii 17X","Py17X_01_v3:553,225..554,121(+)","lsm12, putative","537","lsm12, putative","No"
"PY17X_0111900","PY17X_0111900.1","P. yoelii yoelii 17X","Py17X_01_v3:554,721..555,139(-)","conserved Plasmodium protein, unknown function","171","conserved Plasmodium protein, unknown function","No"
"PY17X_0112000","PY17X_0112000.1","P. yoelii yoelii 17X","Py17X_01_v3:556,026..557,732(-)","eukaryotic translation initiation factor 3 subunit L, putative","1707","eukaryotic translation initiation factor 3 subunit L, putative","No"
"PY17X_0112100","PY17X_0112100.1","P. yoelii yoelii 17X","Py17X_01_v3:559,423..570,973(-)","leucine-rich repeat protein","10461","leucine-rich repeat protein","No"
"PY17X_0112200","PY17X_0112200.1","P. yoelii yoelii 17X","Py17X_01_v3:572,190..572,567(+)","transmembrane protein 234, putative","378","transmembrane protein 234, putative","No"
"PY17X_0112300","PY17X_0112300.1","P. yoelii yoelii 17X","Py17X_01_v3:572,595..573,299(+)","conserved Plasmodium protein, unknown function","705","conserved Plasmodium protein, unknown function","No"
"PY17X_0112400","PY17X_0112400.1","P. yoelii yoelii 17X","Py17X_01_v3:573,660..574,019(-)","conserved Plasmodium protein, unknown function","360","conserved Plasmodium protein, unknown function","No"
"PY17X_0112500","PY17X_0112500.1","P. yoelii yoelii 17X","Py17X_01_v3:574,770..575,978(-)","cytoplasmic tRNA 2-thiolation protein 1, putative","1209","cytoplasmic tRNA 2-thiolation protein 1, putative","No"
"PY17X_0112600","PY17X_0112600.1","P. yoelii yoelii 17X","Py17X_01_v3:576,933..577,937(-)","6-cysteine protein P12, putative","1005","6-cysteine protein P12, putative","No"
"PY17X_0112700","PY17X_0112700.1","P. yoelii yoelii 17X","Py17X_01_v3:578,590..579,576(-)","6-cysteine protein","987","6-cysteine protein","No"
"PY17X_0112800","PY17X_0112800.1","P. yoelii yoelii 17X","Py17X_01_v3:582,006..584,063(+)","nucleolar GTP-binding protein 1, putative","2058","nucleolar GTP-binding protein 1, putative","No"
"PY17X_0112900","PY17X_0112900.1","P. yoelii yoelii 17X","Py17X_01_v3:585,053..586,994(-)","conserved Plasmodium protein, unknown function","354","conserved Plasmodium protein, unknown function","No"
"PY17X_0113000","PY17X_0113000.1","P. yoelii yoelii 17X","Py17X_01_v3:589,233..590,008(+)","conserved Plasmodium protein, unknown function","231","conserved Plasmodium protein, unknown function","No"
