# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	32051	33496	+							PVVCY_0100090	1446		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	32051	33496	+	VEV54398.1			fam-a protein			PVVCY_0100090	798	265	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	35517	36547	-							PVVCY_0100100	1031		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	35517	36547	-	VEV54399.1			fam-b protein			PVVCY_0100100	855	284	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	42868	46674	+							PVVCY_0100110	3807		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	42868	46674	+	VEV54400.1			conserved rodent malaria protein, unknown function			PVVCY_0100110	3807	1268	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	50747	51457	+							PVVCY_0100120	711		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	50747	51457	+	VEV54401.1			conserved rodent malaria protein, unknown function			PVVCY_0100120	453	150	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	52806	53525	-							PVVCY_0100130	720		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	52806	53525	-	VEV54402.1			fam-c protein			PVVCY_0100130	555	184	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	55295	55735	-							PVVCY_0100140	441		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	55295	55735	-	VEV54403.1			CIR protein, fragment			PVVCY_0100140	441	146	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	57610	58798	+							PVVCY_0100150	1189		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	57610	58798	+	VEV54404.1			fam-a protein			PVVCY_0100150	639	212	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	60155	61348	+							PVVCY_0100160	1194		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	60155	61348	+	VEV54405.1			Plasmodium exported protein, unknown function			PVVCY_0100160	1023	340	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	64014	65351	+							PVVCY_0100170	1338		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	64014	65351	+	VEV54406.1			lysophospholipase, putative			PVVCY_0100170	1338	445	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	67832	69789	+							PVVCY_0100180	1958		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	67832	69789	+	VEV54407.1			reticulocyte binding protein, putative			PVVCY_0100180	1857	618	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	71066	72501	-							PVVCY_0100190	1436		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	71066	72501	-	VEV54408.1			PIR protein CIR protein			PVVCY_0100190	1056	351	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	73891	74373	+							PVVCY_0100200	483		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	73891	74373	+	VEV54409.1			schizont membrane associated cytoadherence protein, putative			PVVCY_0100200	483	160	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	76489	77949	+							PVVCY_0100210	1461		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	76489	77949	+	VEV54410.1			Plasmodium exported protein, unknown function			PVVCY_0100210	1260	419	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	79053	83168	-							PVVCY_0100220	4116		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	79053	83168	-	VEV54411.1			conserved Plasmodium protein, unknown function			PVVCY_0100220	4116	1371	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	87663	91669	+							PVVCY_0100230	4007		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	87663	91669	+	VEV54412.1			ATP-dependent RNA helicase, putative			PVVCY_0100230	3888	1295	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	92813	94056	+							PVVCY_0100240	1244		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	92813	94056	+	VEV54413.1			MYND finger protein, putative			PVVCY_0100240	786	261	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	95037	95990	+							PVVCY_0100250	954		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	95037	95990	+	VEV54414.1			liver merozoite formation protein, putative			PVVCY_0100250	954	317	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	96565	99698	-							PVVCY_0100260	3134		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	96565	99698	-	VEV54415.1			elongation factor G, putative			PVVCY_0100260	2775	924	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	100402	101514	+							PVVCY_0100270	1113		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	100402	101514	+	VEV54416.1			geranylgeranyltransferase, putative			PVVCY_0100270	1113	370	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	101920	106118	-							PVVCY_0100280	4199		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	101920	106118	-	VEV54417.1			conserved Plasmodium protein, unknown function			PVVCY_0100280	3396	1131	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	108597	110003	-							PVVCY_0100290	1407		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	108597	110003	-	VEV54418.1			conserved Plasmodium protein, unknown function			PVVCY_0100290	1407	468	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	110676	112685	+							PVVCY_0100300	2010		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	110676	112685	+	VEV54419.1			conserved Plasmodium protein, unknown function			PVVCY_0100300	2010	669	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	113034	114441	-							PVVCY_0100310	1408		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	113034	114441	-	VEV54420.1			conserved Plasmodium protein, unknown function			PVVCY_0100310	1287	428	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	116279	117763	+							PVVCY_0100320	1485		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	116279	117763	+	VEV54421.1			conserved Plasmodium protein, unknown function			PVVCY_0100320	1485	494	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	118968	120377	-							PVVCY_0100330	1410		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	118968	120377	-	VEV54422.1			RNA-binding protein, putative			PVVCY_0100330	1410	469	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	122644	124068	+							PVVCY_0100340	1425		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	122644	124068	+	VEV54423.1			mitochondrial chaperone BCS1, putative			PVVCY_0100340	1425	474	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	124657	126198	-							PVVCY_0100350	1542		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	124657	126198	-	VEV54424.1			dihydroorotate dehydrogenase, putative			PVVCY_0100350	1542	513	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	127462	130107	-							PVVCY_0100360	2646		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	127462	130107	-	VEV54425.1			trophozoite exported protein 1, putative			PVVCY_0100360	2646	881	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	133267	134589	+							PVVCY_0100370	1323		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	133267	134589	+	VEV54426.1			cation/H+ antiporter, putative			PVVCY_0100370	1323	440	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	135352	141251	-							PVVCY_0100380	5900		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	135352	141251	-	VEV54427.1			conserved Plasmodium protein, unknown function			PVVCY_0100380	5634	1877	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	142976	144400	+							PVVCY_0100390	1425		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	142976	144400	+	VEV54428.1			phenylalanine--tRNA ligase, putative			PVVCY_0100390	1425	474	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	144491	152123	-							PVVCY_0100400	7633		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	144491	152123	-	VEV54429.1			centrosomal protein CEP76, putative			PVVCY_0100400	5553	1850	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	152886	153968	-							PVVCY_0100410	1083		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	152886	153968	-	VEV54430.1			conserved Plasmodium protein, unknown function			PVVCY_0100410	1083	360	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	155238	159422	-							PVVCY_0100420	4185		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	155238	159422	-	VEV54431.1			conserved Plasmodium protein, unknown function			PVVCY_0100420	4185	1394	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	160409	165337	-							PVVCY_0100430	4929		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	160409	165337	-	VEV54432.1			transcription factor with AP2 domain(s), putative SPE2-interacting protein, putative			PVVCY_0100430	4929	1642	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	169003	169714	+							PVVCY_0100440	712		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	169003	169714	+	VEV54433.1			mitochondrial ribosomal protein L41, putative			PVVCY_0100440	282	93	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	170497	172464	+							PVVCY_0100450	1968		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	170497	172464	+	VEV54434.1			conserved Plasmodium protein, unknown function			PVVCY_0100450	1968	655	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	173214	174246	+							PVVCY_0100460	1033		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	173214	174246	+	VEV54435.1			conserved Plasmodium protein, unknown function			PVVCY_0100460	582	193	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	176990	183321	+							PVVCY_0100470	6332		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	176990	183321	+	VEV54436.1			conserved Plasmodium protein, unknown function			PVVCY_0100470	5982	1993	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	183929	185372	-							PVVCY_0100480	1444		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	183929	185372	-	VEV54437.1			glyoxalase I, putative			PVVCY_0100480	930	309	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	186142	190206	-							PVVCY_0100490	4065		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	186142	190206	-	VEV54438.1			RAP protein, putative			PVVCY_0100490	4065	1354	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	191032	191665	-							PVVCY_0100500	634		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	191032	191665	-	VEV54439.1			conserved Plasmodium protein, unknown function			PVVCY_0100500	288	95	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	192325	192909	+							PVVCY_0100510	585		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	192325	192909	+	VEV54440.1			50S ribosomal protein L24, putative			PVVCY_0100510	585	194	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	196177	198354	+							PVVCY_0100520	2178		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	196177	198354	+	VEV54441.1			RNA-binding protein, putative			PVVCY_0100520	2178	725	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	199347	200698	-							PVVCY_0100530	1352		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	199347	200698	-	VEV54442.1			conserved Plasmodium protein, unknown function			PVVCY_0100530	636	211	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	201547	203022	+							PVVCY_0100540	1476		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	201547	203022	+	VEV54443.1			serine/threonine protein kinase, putative			PVVCY_0100540	1062	353	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	203646	204119	-							PVVCY_0100550	474		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	203646	204119	-	VEV54444.1			calcium-binding protein, putative			PVVCY_0100550	474	157	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	204330	206273	-							PVVCY_0100560	1944		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	204330	206273	-	VEV54445.1			cyclin dependent kinase binding protein, putative			PVVCY_0100560	1764	587	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	206805	212643	-							PVVCY_0100570	5839		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	206805	212643	-	VEV54446.1			nucleoside diphosphate kinase, putative			PVVCY_0100570	5076	1691	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	214493	215266	+							PVVCY_0100580	774		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	214493	215266	+	VEV54447.1			conserved Plasmodium protein, unknown function			PVVCY_0100580	774	257	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	215761	221271	-							PVVCY_0100590	5511		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	215761	221271	-	VEV54448.1			DNA repair protein RAD50, putative			PVVCY_0100590	5511	1836	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	223902	225379	+							PVVCY_0100600	1478		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	223902	225379	+	VEV54449.1			long chain polyunsaturated fatty acid elongation enzyme, putative			PVVCY_0100600	867	288	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	226015	228711	-							PVVCY_0100610	2697		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	226015	228711	-	VEV54450.1			conserved Plasmodium protein, unknown function			PVVCY_0100610	2697	898	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	231095	233190	+							PVVCY_0100620	2096		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	231095	233190	+	VEV54451.1			RNA-binding protein, putative			PVVCY_0100620	1599	532	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	234199	235243	-							PVVCY_0100630	1045		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	234199	235243	-	VEV54452.1			ubiquitin-conjugating enzyme E2, putative			PVVCY_0100630	450	149	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	236838	237621	-							PVVCY_0100640	784		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	236838	237621	-	VEV54453.1			conserved Plasmodium protein, unknown function			PVVCY_0100640	375	124	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	238605	240991	-							PVVCY_0100650	2387		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	238605	240991	-	VEV54454.1			polypyrimidine tract-binding protein, putative			PVVCY_0100650	1959	652	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	242866	248317	-							PVVCY_0100660	5452		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	242866	248317	-	VEV54455.1			conserved Plasmodium protein, unknown function			PVVCY_0100660	5307	1768	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	250937	255461	+							PVVCY_0100670	4525		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	250937	255461	+	VEV54456.1			coatomer alpha subunit, putative			PVVCY_0100670	4161	1386	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	256349	256999	-							PVVCY_0100680	651		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	256349	256999	-	VEV54457.1			glutaredoxin-like protein			PVVCY_0100680	651	216	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	259289	262090	+							PVVCY_0100690	2802		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	259289	262090	+	VEV54458.1			translation initiation factor IF-2, putative			PVVCY_0100690	2802	933	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	262939	265966	+							PVVCY_0100700	3028		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	262939	265966	+	VEV54459.1			MYND finger protein, putative			PVVCY_0100700	1389	462	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	266473	267751	-							PVVCY_0100710	1279		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	266473	267751	-	VEV54460.1			RING zinc finger protein, putative			PVVCY_0100710	1152	383	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	268754	270124	+							PVVCY_0100720	1371		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	268754	270124	+	VEV54461.1			uroporphyrinogen III decarboxylase, putative			PVVCY_0100720	1263	420	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	270613	273854	-							PVVCY_0100730	3242		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	270613	273854	-	VEV54462.1			G-protein associated signal transduction protein, putative			PVVCY_0100730	1902	633	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	274954	276381	+							PVVCY_0100740	1428		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	274954	276381	+	VEV54463.1			para-hydroxybenzoate--polyprenyltransferase, putative			PVVCY_0100740	1428	475	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	276702	279417	-							PVVCY_0100750	2716		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	276702	279417	-	VEV54464.1			spindle assembly abnormal protein 6, putative			PVVCY_0100750	2238	745	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	283891	290157	+							PVVCY_0100760	6267		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	283891	290157	+	VEV54465.1			conserved Plasmodium protein, unknown function			PVVCY_0100760	6267	2088	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	290999	292833	-							PVVCY_0100770	1835		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	290999	292833	-	VEV54466.1			GTP-binding protein, putative			PVVCY_0100770	1653	550	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	293686	296058	+							PVVCY_0100780	2373		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	293686	296058	+	VEV54467.1			conserved Plasmodium protein, unknown function			PVVCY_0100780	2373	790	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	296344	298554	-							PVVCY_0100790	2211		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	296344	298554	-	VEV54468.1			diphthine methyltransferase, putative			PVVCY_0100790	1050	349	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	299100	302606	+							PVVCY_0100800	3507		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	299100	302606	+	VEV54469.1			conserved Plasmodium protein, unknown function			PVVCY_0100800	3507	1168	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	302728	303559	-							PVVCY_0100810	832		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	302728	303559	-	VEV54470.1			conserved Plasmodium protein, unknown function			PVVCY_0100810	435	144	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	304020	307121	+							PVVCY_0100820	3102		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	304020	307121	+	VEV54471.1			conserved Plasmodium protein, unknown function			PVVCY_0100820	3102	1033	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	307649	309019	+							PVVCY_0100830	1371		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	307649	309019	+	VEV54472.1			sorting assembly machinery 50 kDa subunit, putative			PVVCY_0100830	1371	456	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	309471	309899	-							PVVCY_0100840	429		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	309471	309899	-	VEV54473.1			conserved Plasmodium protein, unknown function			PVVCY_0100840	321	106	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	310951	311784	-							PVVCY_0100850	834		
