"Id" "label" "source" "subfam" "expt" "I1.2" "I1.4" "I1.8" "I2.5" "I2" "I3" "I4" "I6"
"35" 35 "ERX1787318_ERR1717084_Siegal20_NODE_2402_length_2273_cov_17.7119_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"36" 36 "ERX1787318_ERR1717084_Siegal20_NODE_1791_length_3680_cov_17.5451_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 21 2 18 17 54
"37" 37 "ERX1787318_ERR1717084_Siegal20_NODE_3198_length_1413_cov_32.4941_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 18
"38" 38 "ERX1787318_ERR1717084_Siegal20_NODE_3621_length_1176_cov_2.62623_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"39" 39 "ERX1787318_ERR1717084_Siegal20_NODE_3110_length_1481_cov_6.90112_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"40" 40 "ERX1787318_ERR1717084_Siegal20_NODE_3683_length_1142_cov_12.1187_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 13 13 13 13 11
"41" 41 "ERX1787318_ERR1717084_Siegal20_NODE_2622_length_1950_cov_4.13351_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 4
"42" 42 "ERX1787318_ERR1717084_Siegal20_NODE_2124_length_2849_cov_7.89334_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 18
"43" 43 "ERX1787318_ERR1717084_Siegal20_NODE_2432_length_2232_cov_13.4336_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 21 2 18 17 29
"44" 44 "ERX1787318_ERR1717084_Siegal20_NODE_2479_length_2148_cov_18.9484_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 14 14 15 15 16
"45" 45 "ERX1787318_ERR1717084_Siegal20_NODE_4228_length_921_cov_6.08083_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"46" 46 "ERX1787318_ERR1717084_Siegal20_NODE_4118_length_957_cov_36.4568_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"47" 47 "ERX1787318_ERR1717084_Siegal20_NODE_3245_length_1385_cov_7.34662_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"48" 48 "ERX1787318_ERR1717084_Siegal20_NODE_2326_length_2394_cov_4.94912_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 59
"49" 49 "ERX1787318_ERR1717084_Siegal20_NODE_2463_length_2178_cov_17.822_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"50" 50 "ERX1787318_ERR1717084_Siegal20_NODE_2880_length_1655_cov_14.4875_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 21 2 18 17 29
"51" 51 "ERX1787318_ERR1717084_Siegal20_NODE_1361_length_5049_cov_7.86784_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 15 15 16 56 49 44
"52" 52 "ERX1787318_ERR1717084_Siegal20_NODE_2058_length_3032_cov_63.4595_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 14 14 15 15 16
"53" 53 "ERX1787318_ERR1717084_Siegal20_NODE_2050_length_3060_cov_6.54942_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"54" 54 "ERX1787318_ERR1717084_Siegal20_NODE_3553_length_1211_cov_99.3521_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 14 14 15 15 16
"55" 55 "ERX1787318_ERR1717084_Siegal20_NODE_4137_length_950_cov_97.9006_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 14 14 15 15 16
"56" 56 "ERX1787318_ERR1717084_Siegal20_NODE_259_length_13943_cov_69.8405_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 12 43 39 43 42 43
"57" 57 "ERX1787318_ERR1717084_Siegal20_NODE_2450_length_2198_cov_8.93327_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 57 2 62 66 70
"58" 58 "ERX1787318_ERR1717084_Siegal20_NODE_4387_length_869_cov_27.7899_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"59" 59 "ERX1787318_ERR1717084_Siegal20_NODE_3598_length_1187_cov_4.67314_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"60" 60 "ERX1787318_ERR1717084_Siegal20_NODE_2591_length_1984_cov_66.1768_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"61" 61 "ERX1787318_ERR1717084_Siegal20_NODE_2300_length_2459_cov_2.76414_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 14 16 17 25 24 62
"62" 62 "ERX1787318_ERR1717084_Siegal20_NODE_3879_length_1054_cov_3.33433_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"63" 63 "ERX1787318_ERR1717084_Siegal20_NODE_2639_length_1927_cov_8.82585_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 6 7 6 6 5
"64" 64 "ERX1787318_ERR1717084_Siegal20_NODE_2484_length_2143_cov_12.0896_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 39 53 45 55 56 56
"65" 65 "ERX1787318_ERR1717084_Siegal20_NODE_3464_length_1256_cov_13.1915_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"66" 66 "ERX1787318_ERR1717084_Siegal20_NODE_3266_length_1371_cov_3.8807_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"67" 67 "ERX1787318_ERR1717084_Siegal20_NODE_2776_length_1763_cov_115.994_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"68" 68 "ERX1787318_ERR1717084_Siegal20_NODE_3786_length_1091_cov_4.48456_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"69" 69 "ERX1787318_ERR1717084_Siegal20_NODE_1507_length_4620_cov_7.45717_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 4
"70" 70 "ERX1787318_ERR1717084_Siegal20_NODE_4009_length_999_cov_2.33792_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"71" 71 "ERX1787318_ERR1717084_Siegal20_NODE_2934_length_1606_cov_7.51902_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 15 15 16 21 21 22
"72" 72 "ERX1787318_ERR1717084_Siegal20_NODE_2460_length_2180_cov_10.3713_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 25
"73" 73 "ERX1787318_ERR1717084_Siegal20_NODE_2733_length_1824_cov_19.7931_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 26 31 26 30 27 27
"74" 74 "ERX1787318_ERR1717084_Siegal20_NODE_4213_length_928_cov_10.5682_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 9 5 8 8 7
"75" 75 "ERX1787318_ERR1717084_Siegal20_NODE_4956_length_712_cov_45.5403_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 26 31 26 30 27 27
"76" 76 "ERX1787318_ERR1717084_Siegal20_NODE_2176_length_2720_cov_17.2229_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"77" 77 "ERX1787318_ERR1717084_Siegal20_NODE_3762_length_1104_cov_3.6387_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 4
"78" 78 "ERX1787318_ERR1717084_Siegal20_NODE_3118_length_1477_cov_4.38256_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 12 20 15 17 18 19
"79" 79 "ERX1787318_ERR1717084_Siegal20_NODE_4868_length_737_cov_1.69062_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"80" 80 "ERX1787318_ERR1717084_Siegal20_NODE_2897_length_1640_cov_3.89653_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 4
"81" 81 "ERX1787318_ERR1717084_Siegal20_NODE_4434_length_856_cov_2.89763_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 91
"82" 82 "ERX1787318_ERR1717084_Siegal20_NODE_4135_length_950_cov_2.88939_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"83" 83 "ERX1787318_ERR1717084_Siegal20_NODE_3800_length_1084_cov_2.62585_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 76 4 84 94 164
"84" 84 "ERX1787318_ERR1717084_Siegal20_NODE_3100_length_1486_cov_3.5283_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 67 71
"85" 85 "ERX1787318_ERR1717084_Siegal20_NODE_3406_length_1289_cov_6.1013_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 18
"86" 86 "ERX1787318_ERR1717084_Siegal20_NODE_2428_length_2236_cov_4.38331_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 33 30 28 63 71 77
"87" 87 "ERX1787318_ERR1717084_Siegal20_NODE_5133_length_672_cov_5.16856_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 4 4 3 3 2
"88" 88 "ERX1787318_ERR1717084_Siegal20_NODE_2178_length_2716_cov_13.4615_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 13 11 12 12 12 13
"89" 89 "ERX1787318_ERR1717084_Siegal20_NODE_2555_length_2039_cov_13.6502_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 2 16 21 27 24 94 102 119
"90" 90 "ERX1787318_ERR1717084_Siegal20_NODE_3271_length_1367_cov_3.39787_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"91" 91 "ERX1787318_ERR1717084_Siegal20_NODE_4360_length_879_cov_8.18568_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 9 5 8 8 7
"92" 92 "ERX1787318_ERR1717084_Siegal20_NODE_3322_length_1338_cov_3.82463_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 12 44 15 44 43 125
"93" 93 "ERX1787318_ERR1717084_Siegal20_NODE_4881_length_733_cov_3.47198_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 13 13 13 13 11
"94" 94 "ERX1787318_ERR1717084_Siegal20_NODE_4541_length_823_cov_6.70443_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 9 5 8 8 7
"95" 95 "ERX1787318_ERR1717084_Siegal20_NODE_2970_length_1579_cov_14.3957_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 21 2 18 17 54
"96" 96 "ERX1787318_ERR1717084_Siegal20_NODE_4734_length_771_cov_2.26816_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 19 2 27 60 60
"97" 97 "ERX1787318_ERR1717084_Siegal20_NODE_2841_length_1693_cov_5.40904_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"98" 98 "ERX1787318_ERR1717084_Siegal20_NODE_4801_length_753_cov_12.6418_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"99" 99 "ERX1787318_ERR1717084_Siegal20_NODE_4280_length_902_cov_2.84534_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"100" 100 "ERX1787318_ERR1717084_Siegal20_NODE_1872_length_3427_cov_18.188_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 12 35 41 38 42 51 47
"101" 101 "ERX1787318_ERR1717084_Siegal20_NODE_686_length_8578_cov_18.8329_4" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 0 0 0 0 0 0 0 0
"102" 102 "ERX1787318_ERR1717084_Siegal20_NODE_4305_length_897_cov_4.03444_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"103" 103 "ERX1787318_ERR1717084_Siegal20_NODE_995_length_6702_cov_38.3745_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"104" 104 "ERX1787318_ERR1717084_Siegal20_NODE_2866_length_1666_cov_10.7685_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 2 6 8 7 8 7 7 96
"105" 105 "ERX1787318_ERR1717084_Siegal20_NODE_3847_length_1066_cov_3.23046_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 13 30 28 2 100 116
"106" 106 "ERX1787318_ERR1717084_Siegal20_NODE_1569_length_4422_cov_26.9354_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 4 32 30 61 69 73
"107" 107 "ERX1787318_ERR1717084_Siegal20_NODE_5177_length_662_cov_3.37562_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 9 5 8 8 7
"108" 108 "ERX1787318_ERR1717084_Siegal20_NODE_2768_length_1772_cov_13.6605_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 4 3 3 3 3 11 10 10
"109" 109 "ERX1787318_ERR1717084_Siegal20_NODE_3223_length_1398_cov_3.08042_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 13 13 13 13 11
"110" 110 "ERX1787318_ERR1717084_Siegal20_NODE_3656_length_1161_cov_4.55515_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 2 18 25 28 25 28 25 26
"111" 111 "ERX1787318_ERR1717084_Siegal20_NODE_2260_length_2539_cov_12.3253_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"112" 112 "ERX1787318_ERR1717084_Siegal20_NODE_2563_length_2024_cov_28.0345_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 13 13 13 13 11
"113" 113 "ERX1787318_ERR1717084_Siegal20_NODE_3020_length_1539_cov_11.7136_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 4 3 3 3 3 4 4 6
"114" 114 "ERX1787318_ERR1717084_Siegal20_NODE_2526_length_2085_cov_14.6079_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 4 3 3 3 3 4 4 6
"115" 115 "ERX1787318_ERR1717084_Siegal20_NODE_3217_length_1401_cov_27.3195_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 4 3 3 3 3 11 10 10
"116" 116 "ERX1787318_ERR1717084_Siegal20_NODE_3250_length_1383_cov_9.46913_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 2 16 21 27 24 32 32 41
"117" 117 "ERX1787318_ERR1717084_Siegal20_NODE_5298_length_635_cov_4.8069_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 9 5 8 8 7
"118" 118 "ERX1787318_ERR1717084_Siegal20_NODE_3092_length_1491_cov_5.19638_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 4 3 3 3 3 4 4 6
"119" 119 "ERX1787318_ERR1717084_Siegal20_NODE_5400_length_609_cov_2.05776_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"120" 120 "ERX1787318_ERR1717084_Siegal20_NODE_1199_length_5760_cov_25.7089_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 36 32 30 58 61 110
"121" 121 "ERX1787318_ERR1717084_Siegal20_NODE_3510_length_1230_cov_3.21191_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 2 11 19 39 21 37 91 106
"122" 122 "ERX1787318_ERR1717084_Siegal20_NODE_2700_length_1861_cov_7.0515_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 33 30 28 60 63 67
"123" 123 "ERX1787318_ERR1717084_Siegal20_NODE_3885_length_1052_cov_5.31294_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 12 20 15 17 18 19
"124" 124 "ERX1787318_ERR1717084_Siegal20_NODE_3315_length_1341_cov_6.85303_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 4 3 3 3 3 4 4 6
"125" 125 "ERX1787318_ERR1717084_Siegal20_NODE_4031_length_992_cov_3.32551_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"126" 126 "ERX1787318_ERR1717084_Siegal20_NODE_4572_length_814_cov_3.10935_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 4
"127" 127 "ERX1787318_ERR1717084_Siegal20_NODE_1719_length_3929_cov_9.86267_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 4
"128" 128 "ERX1787318_ERR1717084_Siegal20_NODE_2725_length_1833_cov_6.1198_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 13 11 12 12 12 13
"129" 129 "ERX1787318_ERR1717084_Siegal20_NODE_1596_length_4306_cov_171.208_3" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 7 24 44 60 49 86 96 111
"130" 130 "ERX1787318_ERR1717084_Siegal20_NODE_1316_length_5258_cov_17.5418_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 86
"131" 131 "ERX1787318_ERR1717084_Siegal20_NODE_4329_length_889_cov_8.72422_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 13 11 12 12 12 13
"132" 132 "ERX1787318_ERR1717084_Siegal20_NODE_4757_length_764_cov_4.00564_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 5 5 6 10 5 10 9 9
"133" 133 "ERX1787318_ERR1717084_Siegal20_NODE_4274_length_904_cov_16.4865_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 13 13 13 13 11
"134" 134 "ERX1787318_ERR1717084_Siegal20_NODE_2374_length_2315_cov_10.5987_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 42 58 48 65 74 79
"135" 135 "ERX1787318_ERR1717084_Siegal20_NODE_3973_length_1014_cov_3.04067_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 2 6 8 7 8 7 7 75
"136" 136 "ERX1787318_ERR1717084_Siegal20_NODE_3630_length_1170_cov_2.5704_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 2 6 8 7 8 45 33 39
"137" 137 "ERX1787318_ERR1717084_Siegal20_NODE_5021_length_696_cov_5.69891_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 12 52 46 64 73 78
"138" 138 "ERX1787318_ERR1717084_Siegal20_NODE_4451_length_852_cov_127.049_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 2 45 64 51 77 85 95
"139" 139 "ERX1787318_ERR1717084_Siegal20_NODE_2942_length_1601_cov_3.41397_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 12 52 46 92 99 115
"140" 140 "ERX1787318_ERR1717084_Siegal20_NODE_3131_length_1468_cov_6.44374_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 4 3 3 3 3 4 4 12
