Experiment,Samples combined,Cat Sample stage(s),Sample_stage,Analysis?,Strandedness?,file_prefix,Concatenated file,Rationale,Single end?,Geography_source,Paper,sample,fastq_1,fastq_2,accession,run_accession,experiment_accession,sample_accession,secondary_sample_accession,study_accession,secondary_study_accession,parent_study,submission_accession,run_alias,experiment_alias,sample_alias,study_alias,library_layout,library_selection,library_source,library_strategy,library_name,instrument_model,instrument_platform,base_count,read_count,tax_id,scientific_name,sample_title,experiment_title,study_title,description,sample_description,fastq_md5,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_aspera,assembly,ht_index
Kim19,A_0 before CQ,Asexual_Mixed,BL01_0hr,scspades-complete,Stranded,,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158512,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158512_SRR8347515_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158512_SRR8347515_2.fastq.gz,SAMN10605276,SRR8347515,SRX5158512,SAMN10605276,SRS4168330,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_1.A_0_R1.fastq.gz,A_0,A_0,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,A_0,Illumina HiSeq 2500,ILLUMINA,69253100,692531,5855,Plasmodium vivax,BL01_0hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL01_0hr,2899d785cf6310ca8e28c9cdf6fe278c;64742ce727dbb7e2df7425e2f769f280,19700433;21323885,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_A/Kim19_A_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_A_0.95_cdhitest.fasta
Muller19,Thai5,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai5.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600365,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600365_SRR5298178.fastq.gz,,SAMN06445026,SRR5298178,SRX2600365,SAMN06445026,SRS2006622,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-45_S4_R2.fastq.gz,PvSPZ-Thai5-R2,PvSPZ-Thai5,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai5-R2,Illumina HiSeq 2000,ILLUMINA,322130439,6378602,5855,Plasmodium vivax,PvSPZ-Thai5,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai5,08c84db8025054ae4abba1b930717c92,207839902,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/008/SRR5298178/SRR5298178.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/008/SRR5298178/SRR5298178.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/008/SRR5298178/SRR5298178.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai5/Muller19_Thai5_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai5_0.95_cdhitest.fasta
Muller19,Thai5,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai5.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600366,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600366_SRR5298179.fastq.gz,,SAMN06445026,SRR5298179,SRX2600366,SAMN06445026,SRS2006622,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-45_S4_R1.fastq.gz,PvSPZ-Thai5-R1,PvSPZ-Thai5,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai5-R1,Illumina HiSeq 2000,ILLUMINA,641062663,6378602,5855,Plasmodium vivax,PvSPZ-Thai5,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai5,0bf370313519ad9aae2a635e5f33df0a,333760634,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/009/SRR5298179/SRR5298179.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/009/SRR5298179/SRR5298179.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/009/SRR5298179/SRR5298179.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai5/Muller19_Thai5_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai5_0.95_cdhitest.fasta
Muller19,Thai6,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai6.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600375,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600375_SRR5298188.fastq.gz,,SAMN06445027,SRR5298188,SRX2600375,SAMN06445027,SRS2006627,PRJNA376620,SRP100893,PRJNA9540,SRA541747,PvsgspzVK247.2.fastq.gz,PvSPZ-Thai6-R2,PvSPZ-Thai6,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai6-R2,Illumina HiSeq 2000,ILLUMINA,1781829000,35636580,5855,Plasmodium vivax,PvSPZ-Thai6,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai6,028a9aa16d7f230fa1a3b0177481f622,1648660798,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/008/SRR5298188/SRR5298188.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/008/SRR5298188/SRR5298188.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/008/SRR5298188/SRR5298188.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai6/Muller19_Thai6_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai6_0.95_cdhitest.fasta
Muller19,Thai6,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai6.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600376,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600376_SRR5298189.fastq.gz,,SAMN06445027,SRR5298189,SRX2600376,SAMN06445027,SRS2006627,PRJNA376620,SRP100893,PRJNA9540,SRA541747,PvsgspzVK247.1.fastq.gz,PvSPZ-Thai6-R1,PvSPZ-Thai6,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai6-R1,Illumina HiSeq 2000,ILLUMINA,1781829000,35636580,5855,Plasmodium vivax,PvSPZ-Thai6,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai6,d2c58b6914b085e3147ed9552d449739,1789134219,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/009/SRR5298189/SRR5298189.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/009/SRR5298189/SRR5298189.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/009/SRR5298189/SRR5298189.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai6/Muller19_Thai6_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai6_0.95_cdhitest.fasta
Muller19,Thai7,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai7.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600363,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600363_SRR5298176.fastq.gz,,SAMN06445028,SRR5298176,SRX2600363,SAMN06445028,SRS2006620,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-54_allreads_R2.fastq.gz,PvSPZ-Thai7-R2,PvSPZ-Thai7,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai7-R2,Illumina HiSeq 2000,ILLUMINA,3762403952,71144186,5855,Plasmodium vivax,PvSPZ-Thai7,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai7,64a3091979c84c63fb834173931d74ad,2358236173,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/006/SRR5298176/SRR5298176.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/006/SRR5298176/SRR5298176.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/006/SRR5298176/SRR5298176.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai7/Muller19_Thai7_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai7_0.95_cdhitest.fasta
Muller19,Thai7,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai7.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600364,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600364_SRR5298177.fastq.gz,,SAMN06445028,SRR5298177,SRX2600364,SAMN06445028,SRS2006620,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-54_allreads_R1.fastq.gz,PvSPZ-Thai7-R1,PvSPZ-Thai7,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai7-R1,Illumina HiSeq 2000,ILLUMINA,7179833101,71144186,5855,Plasmodium vivax,PvSPZ-Thai7,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai7,595bf4f312ede8669024f64dc13f934a,4226106019,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/007/SRR5298177/SRR5298177.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/007/SRR5298177/SRR5298177.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/007/SRR5298177/SRR5298177.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai7/Muller19_Thai7_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai7_0.95_cdhitest.fasta
Muller19,Thai8,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai8.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600361,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600361_SRR5298174.fastq.gz,,SAMN06445029,SRR5298174,SRX2600361,SAMN06445029,SRS2006619,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-56_allreads_R2.fastq.gz,PvSPZ-Thai8-R2,PvSPZ-Thai8,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai8-R2,Illumina HiSeq 2000,ILLUMINA,2853674258,54919733,5855,Plasmodium vivax,PvSPZ-Thai8,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai8,d969470c9b718b2e6ad537a567326a16,1809584194,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/004/SRR5298174/SRR5298174.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/004/SRR5298174/SRR5298174.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/004/SRR5298174/SRR5298174.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai8/Muller19_Thai8_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai8_0.95_cdhitest.fasta
Muller19,Thai8,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai8.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600362,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600362_SRR5298175.fastq.gz,,SAMN06445029,SRR5298175,SRX2600362,SAMN06445029,SRS2006619,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-56_allreads_R1.fastq.gz,PvSPZ-Thai8-R1,PvSPZ-Thai8,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai8-R1,Illumina HiSeq 2000,ILLUMINA,5570254038,54919733,5855,Plasmodium vivax,PvSPZ-Thai8,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai8,0f5cb7ad46e32e3e8031429c0d27444b,3261977675,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/005/SRR5298175/SRR5298175.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/005/SRR5298175/SRR5298175.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/005/SRR5298175/SRR5298175.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai8/Muller19_Thai8_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai8_0.95_cdhitest.fasta
Muller19,Thai9,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai9.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600359,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600359_SRR5298172.fastq.gz,,SAMN06445030,SRR5298172,SRX2600359,SAMN06445030,SRS2006618,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-59_allreads_R2.fastq.gz,PvSPZ-Thai9-R2,PvSPZ-Thai9,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai9-R2,Illumina HiSeq 2000,ILLUMINA,3841026139,72566225,5855,Plasmodium vivax,PvSPZ-Thai9,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai9,583374ed6a793ddd62e3dcab1a3abfd3,2578339081,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298172/SRR5298172.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298172/SRR5298172.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/002/SRR5298172/SRR5298172.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai9/Muller19_Thai9_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai9_0.95_cdhitest.fasta
Muller19,Thai9,Sporozoite,Sporozoite,scspades-complete,,,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/fastp/cat_fastp/Muller19_Thai9.fq.gz,Separate clinical isolates,Single,Thailand _ Tak/Ubon,Transcriptome and histone epigenome of Plasmodium vivax salivary-gland sporozoites point to tight regulatory control and mechanisms for liver-stage differentiation in relapsing malaria,SRX2600360,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX2600360_SRR5298173.fastq.gz,,SAMN06445030,SRR5298173,SRX2600360,SAMN06445030,SRS2006618,PRJNA376620,SRP100893,PRJNA9540,SRA541747,VTTY-59_allreads_R1.fastq.gz,PvSPZ-Thai9-R1,PvSPZ-Thai9,PRJNA376620,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,PvSPZ-Thai9-R1,Illumina HiSeq 2000,ILLUMINA,7426477671,72566225,5855,Plasmodium vivax,PvSPZ-Thai9,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,Plasmodium vivax Raw sequence reads,Illumina HiSeq 2000 sequencing; RNAseq - Plasmodium vivax salivary sporozoites,PvSPZ-Thai9,00783a5d6a707750f4d3734ed6ab0938,4561439603,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/003/SRR5298173/SRR5298173.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/003/SRR5298173/SRR5298173.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR529/003/SRR5298173/SRR5298173.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai9/Muller19_Thai9_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Muller19_Thai9_0.95_cdhitest.fasta
Gural18,Mixed1,Liver_Mixed,,scspades-complete,,,,Difficult to tell?,single,Thailand,"In Vitro Culture, Drug Sensitivity, and Transcriptome of Plasmodium Vivax Hypnozoites",SRX3467115,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX3467115_SRR6371894.fastq.gz,,SAMN08167527,SRR6371894,SRX3467115,SAMN08167527,SRS2754878,PRJNA422240,SRP126641,PRJNA9540,SRA638166,GSM2886847_r1,GSM2886847,GSM2886847,GSE108016,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 2000,ILLUMINA,1494093650,29881873,5855,Plasmodium vivax,Mixed1,Illumina HiSeq 2000 sequencing; GSM2886847: Mixed1; Plasmodium vivax; RNA-Seq,RNAseq of hypnozoites and schizonts in the MPCC system,Illumina HiSeq 2000 sequencing; GSM2886847: Mixed1; Plasmodium vivax; RNA-Seq,Mixed1,ac8e210a1b6c7907f5c81ebd22a347f4,1151962486,ftp.sra.ebi.ac.uk/vol1/fastq/SRR637/004/SRR6371894/SRR6371894.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR637/004/SRR6371894/SRR6371894.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR637/004/SRR6371894/SRR6371894.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX3467115_SRR6371894_Gural18/SRX3467115_SRR6371894_Gural18_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/SRX3467115_SRR6371894_Gural18_0.95_cdhitest.fasta
Gural18,Mixed2,Liver_Mixed,,scspades-complete,,,,Difficult to tell?,single,Thailand,"In Vitro Culture, Drug Sensitivity, and Transcriptome of Plasmodium Vivax Hypnozoites",SRX3467116,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX3467116_SRR6371895.fastq.gz,,SAMN08167526,SRR6371895,SRX3467116,SAMN08167526,SRS2754897,PRJNA422240,SRP126641,PRJNA9540,SRA638166,GSM2886848_r1,GSM2886848,GSM2886848,GSE108016,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 2000,ILLUMINA,1557113350,31142267,5855,Plasmodium vivax,Mixed2,Illumina HiSeq 2000 sequencing; GSM2886848: Mixed2; Plasmodium vivax; RNA-Seq,RNAseq of hypnozoites and schizonts in the MPCC system,Illumina HiSeq 2000 sequencing; GSM2886848: Mixed2; Plasmodium vivax; RNA-Seq,Mixed2,e57e6a5857e3de18c3ab3cd14d75efaa,1221205593,ftp.sra.ebi.ac.uk/vol1/fastq/SRR637/005/SRR6371895/SRR6371895.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR637/005/SRR6371895/SRR6371895.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR637/005/SRR6371895/SRR6371895.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX3467116_SRR6371895_Gural18/SRX3467116_SRR6371895_Gural18_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/SRX3467116_SRR6371895_Gural18_0.95_cdhitest.fasta
Gural18,Hyp1,Liver_Hypnozoite,,scspades-complete,,,,Difficult to tell?,single,Thailand,"In Vitro Culture, Drug Sensitivity, and Transcriptome of Plasmodium Vivax Hypnozoites",SRX3467117,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX3467117_SRR6371896.fastq.gz,,SAMN08167525,SRR6371896,SRX3467117,SAMN08167525,SRS2754887,PRJNA422240,SRP126641,PRJNA9540,SRA638166,GSM2886849_r1,GSM2886849,GSM2886849,GSE108016,SINGLE,cDNA,TRANSCRIPTOMIC,RNA-Seq,,Illumina HiSeq 2000,ILLUMINA,1367588200,27351764,5855,Plasmodium vivax,Hyp1,Illumina HiSeq 2000 sequencing; GSM2886849: Hyp1; Plasmodium vivax; RNA-Seq,RNAseq of hypnozoites and schizonts in the MPCC system,Illumina HiSeq 2000 sequencing; GSM2886849: Hyp1; Plasmodium vivax; RNA-Seq,Hyp1,bc18a29e563abfc3e60c08ac48e0bffa,985119913,ftp.sra.ebi.ac.uk/vol1/fastq/SRR637/006/SRR6371896/SRR6371896.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR637/006/SRR6371896/SRR6371896.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR637/006/SRR6371896/SRR6371896.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX3467117_SRR6371896_Gural18/SRX3467117_SRR6371896_Gural18_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/SRX3467117_SRR6371896_Gural18_0.95_cdhitest.fasta
