label,Id,source,subfam,expt,30pid25lngthI1.2,30pid25lngthI1.4,30pid25lngthI1.8,30pid25lngthI2,30pid25lngthI2.5,30pid25lngthI3,30pid25lngthI4,30pid25lngthI6
ERX1787318_ERR1717084_Siegal20_NODE_2903_length_1632_cov_11.5276_1,32,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_3230_length_1396_cov_6.31022_1,33,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,7,7,6,6,6,5
ERX1787318_ERR1717084_Siegal20_NODE_1832_length_3550_cov_5.5525_1,34,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,19,27,55,55
ERX1787318_ERR1717084_Siegal20_NODE_2402_length_2273_cov_17.7119_1,35,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,6,5,5,5,3
ERX1787318_ERR1717084_Siegal20_NODE_1791_length_3680_cov_17.5451_1,36,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,21,18,17,54
ERX1787318_ERR1717084_Siegal20_NODE_3198_length_1413_cov_32.4941_1,37,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,18
ERX1787318_ERR1717084_Siegal20_NODE_3621_length_1176_cov_2.62623_1,38,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_3110_length_1481_cov_6.90112_1,39,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_3683_length_1142_cov_12.1187_1,40,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,13,13,13,13,11
ERX1787318_ERR1717084_Siegal20_NODE_2622_length_1950_cov_4.13351_2,41,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,4
ERX1787318_ERR1717084_Siegal20_NODE_2124_length_2849_cov_7.89334_1,42,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,18
ERX1787318_ERR1717084_Siegal20_NODE_2432_length_2232_cov_13.4336_1,43,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,21,18,17,29
ERX1787318_ERR1717084_Siegal20_NODE_2479_length_2148_cov_18.9484_1,44,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,7,14,14,15,15,16
ERX1787318_ERR1717084_Siegal20_NODE_4228_length_921_cov_6.08083_1,45,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_4118_length_957_cov_36.4568_1,46,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_3245_length_1385_cov_7.34662_1,47,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_2326_length_2394_cov_4.94912_1,48,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,59
ERX1787318_ERR1717084_Siegal20_NODE_2463_length_2178_cov_17.822_1,49,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,6,5,5,5,3
ERX1787318_ERR1717084_Siegal20_NODE_2880_length_1655_cov_14.4875_1,50,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,21,18,17,29
ERX1787318_ERR1717084_Siegal20_NODE_1361_length_5049_cov_7.86784_1,51,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,15,16,15,56,49,44
ERX1787318_ERR1717084_Siegal20_NODE_2058_length_3032_cov_63.4595_1,52,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,7,14,14,15,15,16
ERX1787318_ERR1717084_Siegal20_NODE_2050_length_3060_cov_6.54942_1,53,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_3553_length_1211_cov_99.3521_1,54,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,7,14,14,15,15,16
ERX1787318_ERR1717084_Siegal20_NODE_4137_length_950_cov_97.9006_1,55,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,7,14,14,15,15,16
ERX1787318_ERR1717084_Siegal20_NODE_259_length_13943_cov_69.8405_1,56,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,12,39,43,43,42,43
ERX1787318_ERR1717084_Siegal20_NODE_2450_length_2198_cov_8.93327_1,57,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,57,62,66,70
ERX1787318_ERR1717084_Siegal20_NODE_4387_length_869_cov_27.7899_1,58,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_3598_length_1187_cov_4.67314_1,59,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_2591_length_1984_cov_66.1768_1,60,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_2300_length_2459_cov_2.76414_1,61,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,14,17,16,25,24,62
ERX1787318_ERR1717084_Siegal20_NODE_3879_length_1054_cov_3.33433_1,62,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_2639_length_1927_cov_8.82585_1,63,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,7,6,6,6,5
ERX1787318_ERR1717084_Siegal20_NODE_2484_length_2143_cov_12.0896_1,64,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,39,45,53,55,56,56
ERX1787318_ERR1717084_Siegal20_NODE_3464_length_1256_cov_13.1915_1,65,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,6,5,5,5,3
ERX1787318_ERR1717084_Siegal20_NODE_3266_length_1371_cov_3.8807_1,66,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_2776_length_1763_cov_115.994_1,67,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_3786_length_1091_cov_4.48456_1,68,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_1507_length_4620_cov_7.45717_1,69,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,4
ERX1787318_ERR1717084_Siegal20_NODE_4009_length_999_cov_2.33792_1,70,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_2934_length_1606_cov_7.51902_1,71,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,15,16,15,21,21,22
ERX1787318_ERR1717084_Siegal20_NODE_2460_length_2180_cov_10.3713_1,72,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,25
ERX1787318_ERR1717084_Siegal20_NODE_2733_length_1824_cov_19.7931_1,73,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,26,26,31,30,27,27
ERX1787318_ERR1717084_Siegal20_NODE_4213_length_928_cov_10.5682_1,74,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,9,8,8,7
ERX1787318_ERR1717084_Siegal20_NODE_4956_length_712_cov_45.5403_1,75,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,26,26,31,30,27,27
ERX1787318_ERR1717084_Siegal20_NODE_2176_length_2720_cov_17.2229_1,76,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,6,5,5,5,3
ERX1787318_ERR1717084_Siegal20_NODE_3762_length_1104_cov_3.6387_1,77,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,4
ERX1787318_ERR1717084_Siegal20_NODE_3118_length_1477_cov_4.38256_1,78,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,12,15,20,17,18,19
ERX1787318_ERR1717084_Siegal20_NODE_4868_length_737_cov_1.69062_1,79,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_2897_length_1640_cov_3.89653_1,80,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,4
ERX1787318_ERR1717084_Siegal20_NODE_4434_length_856_cov_2.89763_1,81,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,91
ERX1787318_ERR1717084_Siegal20_NODE_4135_length_950_cov_2.88939_1,82,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_3800_length_1084_cov_2.62585_2,83,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,76,84,94,164
ERX1787318_ERR1717084_Siegal20_NODE_3100_length_1486_cov_3.5283_1,84,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,67,71
ERX1787318_ERR1717084_Siegal20_NODE_3406_length_1289_cov_6.1013_1,85,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,18
ERX1787318_ERR1717084_Siegal20_NODE_2428_length_2236_cov_4.38331_1,86,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,33,28,30,63,71,77
ERX1787318_ERR1717084_Siegal20_NODE_5133_length_672_cov_5.16856_1,87,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,4,4,3,3,2
ERX1787318_ERR1717084_Siegal20_NODE_2178_length_2716_cov_13.4615_1,88,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,13,12,11,12,12,13
ERX1787318_ERR1717084_Siegal20_NODE_2555_length_2039_cov_13.6502_1,89,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,16,21,24,27,94,102,119
ERX1787318_ERR1717084_Siegal20_NODE_3271_length_1367_cov_3.39787_1,90,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_4360_length_879_cov_8.18568_1,91,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,9,8,8,7
ERX1787318_ERR1717084_Siegal20_NODE_3322_length_1338_cov_3.82463_1,92,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,12,15,44,44,43,125
ERX1787318_ERR1717084_Siegal20_NODE_4881_length_733_cov_3.47198_1,93,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,13,13,13,13,11
ERX1787318_ERR1717084_Siegal20_NODE_4541_length_823_cov_6.70443_1,94,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,9,8,8,7
ERX1787318_ERR1717084_Siegal20_NODE_2970_length_1579_cov_14.3957_2,95,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,21,18,17,54
ERX1787318_ERR1717084_Siegal20_NODE_4734_length_771_cov_2.26816_1,96,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,19,27,60,60
ERX1787318_ERR1717084_Siegal20_NODE_2841_length_1693_cov_5.40904_1,97,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_4801_length_753_cov_12.6418_1,98,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,1,1,1,1,1,1
ERX1787318_ERR1717084_Siegal20_NODE_4280_length_902_cov_2.84534_1,99,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_1872_length_3427_cov_18.188_1,100,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,12,35,38,41,42,51,47
ERX1787318_ERR1717084_Siegal20_NODE_686_length_8578_cov_18.8329_4,101,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,0,0,0,0,0,0,0,0
ERX1787318_ERR1717084_Siegal20_NODE_4305_length_897_cov_4.03444_1,102,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_995_length_6702_cov_38.3745_1,103,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,6,5,5,5,3
ERX1787318_ERR1717084_Siegal20_NODE_2866_length_1666_cov_10.7685_1,104,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,6,8,8,7,7,7,96
ERX1787318_ERR1717084_Siegal20_NODE_3847_length_1066_cov_3.23046_1,105,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,13,28,30,2,100,116
ERX1787318_ERR1717084_Siegal20_NODE_1569_length_4422_cov_26.9354_2,106,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,4,30,32,61,69,73
ERX1787318_ERR1717084_Siegal20_NODE_5177_length_662_cov_3.37562_2,107,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,9,8,8,7
ERX1787318_ERR1717084_Siegal20_NODE_2768_length_1772_cov_13.6605_1,108,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,11,10,10
ERX1787318_ERR1717084_Siegal20_NODE_3223_length_1398_cov_3.08042_1,109,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,13,13,13,13,11
ERX1787318_ERR1717084_Siegal20_NODE_3656_length_1161_cov_4.55515_1,110,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,18,25,25,28,28,25,26
ERX1787318_ERR1717084_Siegal20_NODE_2260_length_2539_cov_12.3253_2,111,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,6,5,5,5,3
ERX1787318_ERR1717084_Siegal20_NODE_2563_length_2024_cov_28.0345_1,112,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,13,13,13,13,11
ERX1787318_ERR1717084_Siegal20_NODE_3020_length_1539_cov_11.7136_1,113,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,4,4,6
ERX1787318_ERR1717084_Siegal20_NODE_2526_length_2085_cov_14.6079_1,114,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,4,4,6
ERX1787318_ERR1717084_Siegal20_NODE_3217_length_1401_cov_27.3195_1,115,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,11,10,10
ERX1787318_ERR1717084_Siegal20_NODE_3250_length_1383_cov_9.46913_1,116,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,16,21,24,27,32,32,41
ERX1787318_ERR1717084_Siegal20_NODE_5298_length_635_cov_4.8069_1,117,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,9,8,8,7
ERX1787318_ERR1717084_Siegal20_NODE_3092_length_1491_cov_5.19638_1,118,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,4,4,6
ERX1787318_ERR1717084_Siegal20_NODE_5400_length_609_cov_2.05776_1,119,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_1199_length_5760_cov_25.7089_2,120,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,36,30,32,58,61,110
ERX1787318_ERR1717084_Siegal20_NODE_3510_length_1230_cov_3.21191_1,121,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,11,19,21,39,37,91,106
ERX1787318_ERR1717084_Siegal20_NODE_2700_length_1861_cov_7.0515_1,122,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,33,28,30,60,63,67
ERX1787318_ERR1717084_Siegal20_NODE_3885_length_1052_cov_5.31294_1,123,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,12,15,20,17,18,19
ERX1787318_ERR1717084_Siegal20_NODE_3315_length_1341_cov_6.85303_2,124,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,4,4,6
ERX1787318_ERR1717084_Siegal20_NODE_4031_length_992_cov_3.32551_1,125,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_4572_length_814_cov_3.10935_1,126,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,4
ERX1787318_ERR1717084_Siegal20_NODE_1719_length_3929_cov_9.86267_2,127,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,4
ERX1787318_ERR1717084_Siegal20_NODE_2725_length_1833_cov_6.1198_1,128,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,13,12,11,12,12,13
ERX1787318_ERR1717084_Siegal20_NODE_1596_length_4306_cov_171.208_3,129,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,7,24,44,49,60,86,96,111
ERX1787318_ERR1717084_Siegal20_NODE_1316_length_5258_cov_17.5418_1,130,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,2,2,2,2,2,86
ERX1787318_ERR1717084_Siegal20_NODE_4329_length_889_cov_8.72422_1,131,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,13,12,11,12,12,13
ERX1787318_ERR1717084_Siegal20_NODE_4757_length_764_cov_4.00564_1,132,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,5,5,6,5,10,10,9,9
ERX1787318_ERR1717084_Siegal20_NODE_4274_length_904_cov_16.4865_1,133,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,13,13,13,13,11
ERX1787318_ERR1717084_Siegal20_NODE_2374_length_2315_cov_10.5987_1,134,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,42,48,58,65,74,79
ERX1787318_ERR1717084_Siegal20_NODE_3973_length_1014_cov_3.04067_1,135,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,6,8,8,7,7,7,75
ERX1787318_ERR1717084_Siegal20_NODE_3630_length_1170_cov_2.5704_1,136,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,6,8,8,7,45,33,39
ERX1787318_ERR1717084_Siegal20_NODE_5021_length_696_cov_5.69891_1,137,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,12,46,52,64,73,78
ERX1787318_ERR1717084_Siegal20_NODE_4451_length_852_cov_127.049_2,138,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,2,45,51,64,77,85,95
ERX1787318_ERR1717084_Siegal20_NODE_2942_length_1601_cov_3.41397_1,139,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,12,46,52,92,99,115
ERX1787318_ERR1717084_Siegal20_NODE_3131_length_1468_cov_6.44374_1,140,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,4,4,12
ERX1787318_ERR1717084_Siegal20_NODE_3691_length_1139_cov_12.3183_1,141,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,3,4,5,13,13,13,13,11
ERX1787318_ERR1717084_Siegal20_NODE_3396_length_1293_cov_5.90307_1,142,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,0,0,0,0,0,0,0,0
ERX1787318_ERR1717084_Siegal20_NODE_2483_length_2143_cov_17.9023_1,143,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,7,9,9,8,9,11,15
ERX1787318_ERR1717084_Siegal20_NODE_3043_length_1527_cov_5.99049_1,144,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,6,8,8,7,97,97,89
ERX1787318_ERR1717084_Siegal20_NODE_3410_length_1287_cov_7.69318_1,145,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,14,2,19,69,79,85
ERX1787318_ERR1717084_Siegal20_NODE_3707_length_1133_cov_7.82653_2,146,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,11,10,10
ERX1787318_ERR1717084_Siegal20_NODE_4010_length_998_cov_4.06469_1,147,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,6,8,8,7,7,7,8
ERX1787318_ERR1717084_Siegal20_NODE_3939_length_1026_cov_4.19876_1,148,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,2,7,9,58,73,85,91,106
ERX1787318_ERR1717084_Siegal20_NODE_2626_length_1945_cov_15.0905_2,149,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,11,10,10
ERX1787318_ERR1717084_Siegal20_NODE_3923_length_1030_cov_3.61231_1,150,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,4,3,3,3,3,11,10,10
ERX1787318_ERR1717084_Siegal20_NODE_1695_length_3993_cov_27.1709_1,151,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,0,0,0,0,0,0,0,0
ERX1787318_ERR1717084_Siegal20_NODE_2689_length_1872_cov_4.95817_1,152,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,1,14,17,16,25,24,103
ERX1787318_ERR1717084_Siegal20_NODE_1605_length_4285_cov_6.68038_2,153,ERX1787318_ERR1717084_Siegal20,assembled,Siegal20,1,17,2,2,54,50,48,50
