"Gene ID","source_id","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length","Deprecated?","Gene Name or Symbol","Previous ID(s)","Product Description","Transcript Product Description","Chromosome","Genomic Location (Gene)","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Paralog count","Protein Length","CDS Length","Molecular Weight","Isoelectric Point","Interpro ID","Interpro Description","PFam ID","PFam Description","PirSF ID","PirSF Description","Prositefamilies ID","Prositefamilies Description","Smart ID","Smart Description","Superfamily ID","Superfamily Description","TigrFam ID","TigrFam Description","GeneDB Updated Product Name"
"PVP01_0000300","PVP01_0000300.1","3","3","1","N/A","N/A","forward","protein coding gene","No","900","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:136,113..137,215(+)","Transfer.PvP01_00_1.final:136113..137215(+)","Transfer.PvP01_00_1.final","520","8","299","900","35892","8.06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000310","PVP01_0000310.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1062","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:139,564..140,885(-)","Transfer.PvP01_00_1.final:139564..140885(-)","Transfer.PvP01_00_1.final","7","8","353","1062","40665","6.71","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000320","PVP01_0000320.1","3","3","1","N/A","N/A","forward","protein coding gene","No","897","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:149,117..150,244(+)","Transfer.PvP01_00_1.final:149117..150244(+)","Transfer.PvP01_00_1.final","341","6","298","897","35255","8.17","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000330","PVP01_0000330.1","4","4","1","N/A","N/A","forward","protein coding gene","No","2001","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:153,771..156,214(+)","Transfer.PvP01_00_1.final:153771..156214(+)","Transfer.PvP01_00_1.final","0","1","666","2001","79437","8.05","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000340","PVP01_0000340.1","3","3","1","588","N/A","forward","pseudogene","Yes","984","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_1.final:157,770..159,015(+)","Transfer.PvP01_00_1.final:157770..158300(+)","Transfer.PvP01_00_1.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000350","PVP01_0000350.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1200","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:162,521..163,955(-)","Transfer.PvP01_00_1.final:162521..163955(-)","Transfer.PvP01_00_1.final","54","5","399","1200","46116","4.74","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000360","PVP01_0000360.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","903","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:168,013..169,166(-)","Transfer.PvP01_00_1.final:168013..169166(-)","Transfer.PvP01_00_1.final","0","0","300","903","36081","8.09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000370","PVP01_0000370.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1053","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:173,253..174,570(-)","Transfer.PvP01_00_1.final:173253..174570(-)","Transfer.PvP01_00_1.final","7","8","350","1053","40860","6.8","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000380","PVP01_0000380.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","975","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:177,088..178,336(-)","Transfer.PvP01_00_1.final:177088..178336(-)","Transfer.PvP01_00_1.final","2","9","324","975","37966","8.23","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000390","PVP01_0000390.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","933","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:180,421..181,585(-)","Transfer.PvP01_00_1.final:180421..181585(-)","Transfer.PvP01_00_1.final","25","9","310","933","36830","7.74","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000400","PVP01_0000400.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","972","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:184,092..185,326(-)","Transfer.PvP01_00_1.final:184092..185326(-)","Transfer.PvP01_00_1.final","2","9","323","972","37824","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000410","PVP01_0000410.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","954","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:187,977..189,181(-)","Transfer.PvP01_00_1.final:187977..189181(-)","Transfer.PvP01_00_1.final","10","13","317","954","37668","8.14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000420","PVP01_0000420.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","921","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:192,877..194,048(-)","Transfer.PvP01_00_1.final:192877..194048(-)","Transfer.PvP01_00_1.final","25","9","306","921","36270","8.65","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000430","PVP01_0000430.1","3","3","1","N/A","N/A","forward","protein coding gene","No","879","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:198,976..200,108(+)","Transfer.PvP01_00_1.final:198976..200108(+)","Transfer.PvP01_00_1.final","82","12","292","879","34516","7.52","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000440","PVP01_0000440.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1053","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:202,012..203,340(-)","Transfer.PvP01_00_1.final:202012..203340(-)","Transfer.PvP01_00_1.final","7","8","350","1053","40742","5.56","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000450","PVP01_0000450.1","4","4","1","N/A","N/A","reverse","pseudogene","Yes","672","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_1.final:206,787..207,739(-)","Transfer.PvP01_00_1.final:206787..207739(-)","Transfer.PvP01_00_1.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000460","PVP01_0000460.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","969","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:210,223..211,459(-)","Transfer.PvP01_00_1.final:210223..211459(-)","Transfer.PvP01_00_1.final","1","0","322","969","37294","6.7","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000470","PVP01_0000470.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","927","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:214,630..215,807(-)","Transfer.PvP01_00_1.final:214630..215807(-)","Transfer.PvP01_00_1.final","520","8","308","927","36849","8.02","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000480","PVP01_0000480.1","4","4","1","N/A","N/A","forward","protein coding gene","No","924","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:221,402..222,734(+)","Transfer.PvP01_00_1.final:221402..222734(+)","Transfer.PvP01_00_1.final","82","12","307","924","36226","8.08","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000490","PVP01_0000490.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1059","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:224,534..225,854(-)","Transfer.PvP01_00_1.final:224534..225854(-)","Transfer.PvP01_00_1.final","7","8","352","1059","40847","5.55","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000500","PVP01_0000500.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","939","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:229,303..230,523(-)","Transfer.PvP01_00_1.final:229303..230523(-)","Transfer.PvP01_00_1.final","10","13","312","939","37146","7.84","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000510","PVP01_0000510.1","4","4","1","N/A","N/A","reverse","protein coding gene","No","837","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:233,006..234,201(-)","Transfer.PvP01_00_1.final:233006..234201(-)","Transfer.PvP01_00_1.final","39","4","278","837","32397","8.95","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000520","PVP01_0000520.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","660","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:237,299..238,198(-)","Transfer.PvP01_00_1.final:237299..238198(-)","Transfer.PvP01_00_1.final","35","1","219","660","25989","7.92","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000530","PVP01_0000530.1","3","3","1","351","N/A","reverse","pseudogene","Yes","717","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_1.final:241,129..242,106(-)","Transfer.PvP01_00_1.final:241599..242106(-)","Transfer.PvP01_00_1.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000540","PVP01_0000540.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","918","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:244,224..245,394(-)","Transfer.PvP01_00_1.final:244224..245394(-)","Transfer.PvP01_00_1.final","25","9","305","918","36716","7.79","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000550","PVP01_0000550.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","975","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:247,474..248,713(-)","Transfer.PvP01_00_1.final:247474..248713(-)","Transfer.PvP01_00_1.final","0","0","324","975","38536","6.99","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000560","PVP01_0000560.1","3","3","1","780","N/A","reverse","pseudogene","Yes","1020","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_1.final:252,142..253,453(-)","Transfer.PvP01_00_1.final:253043..253453(-)","Transfer.PvP01_00_1.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000570","PVP01_0000570.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","918","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:255,961..257,135(-)","Transfer.PvP01_00_1.final:255961..257135(-)","Transfer.PvP01_00_1.final","25","9","305","918","36605","7.79","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000580","PVP01_0000580.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1116","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:261,211..262,567(-)","Transfer.PvP01_00_1.final:261211..262567(-)","Transfer.PvP01_00_1.final","7","8","371","1116","43493","5.21","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000590","PVP01_0000590.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","969","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:266,285..267,518(-)","Transfer.PvP01_00_1.final:266285..267518(-)","Transfer.PvP01_00_1.final","2","9","322","969","37650","7.16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000600","PVP01_0000600.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","954","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:270,017..271,223(-)","Transfer.PvP01_00_1.final:270017..271223(-)","Transfer.PvP01_00_1.final","10","13","317","954","37027","7.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000610","PVP01_0000610.1","3","3","1","522","N/A","reverse","pseudogene","Yes","963","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_1.final:276,779..278,041(-)","Transfer.PvP01_00_1.final:277423..278041(-)","Transfer.PvP01_00_1.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000620","PVP01_0000620.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","963","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:282,389..283,631(-)","Transfer.PvP01_00_1.final:282389..283631(-)","Transfer.PvP01_00_1.final","1","2","320","963","37371","8.51","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000630","PVP01_0000630.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","951","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:286,772..287,952(-)","Transfer.PvP01_00_1.final:286772..287952(-)","Transfer.PvP01_00_1.final","10","13","316","951","37118","8.44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000640","PVP01_0000640.1","3","3","1","489","N/A","reverse","pseudogene","Yes","1032","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_1.final:290,925..292,241(-)","Transfer.PvP01_00_1.final:291543..292241(-)","Transfer.PvP01_00_1.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000650","PVP01_0000650.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","969","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:294,911..296,157(-)","Transfer.PvP01_00_1.final:294911..296157(-)","Transfer.PvP01_00_1.final","1","2","322","969","38236","9.32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000660","PVP01_0000660.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","915","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:298,820..299,985(-)","Transfer.PvP01_00_1.final:298820..299985(-)","Transfer.PvP01_00_1.final","25","9","304","915","36540","8.19","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000670","PVP01_0000670.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1053","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:304,005..305,328(-)","Transfer.PvP01_00_1.final:304005..305328(-)","Transfer.PvP01_00_1.final","7","8","350","1053","40540","6.8","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000680","PVP01_0000680.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","975","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:307,888..309,128(-)","Transfer.PvP01_00_1.final:307888..309128(-)","Transfer.PvP01_00_1.final","2","9","324","975","37916","7.25","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000690","PVP01_0000690.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","753","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:312,042..312,917(-)","Transfer.PvP01_00_1.final:312042..312917(-)","Transfer.PvP01_00_1.final","0","0","251","753","29577","7.36","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000700","PVP01_0000700.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","960","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:315,036..316,274(-)","Transfer.PvP01_00_1.final:315036..316274(-)","Transfer.PvP01_00_1.final","0","1","319","960","37613","8.2","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000710","PVP01_0000710.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","843","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:319,115..320,328(-)","Transfer.PvP01_00_1.final:319115..320328(-)","Transfer.PvP01_00_1.final","10","13","280","843","33608","8.48","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000720","PVP01_0000720.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","975","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:323,548..324,790(-)","Transfer.PvP01_00_1.final:323548..324790(-)","Transfer.PvP01_00_1.final","2","9","324","975","38119","6.83","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000730","PVP01_0000730.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","948","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:327,285..328,491(-)","Transfer.PvP01_00_1.final:327285..328491(-)","Transfer.PvP01_00_1.final","10","13","315","948","36931","8.73","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000740","PVP01_0000740.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","972","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:335,756..337,025(-)","Transfer.PvP01_00_1.final:335756..337025(-)","Transfer.PvP01_00_1.final","0","0","323","972","37890","8.8","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000750","PVP01_0000750.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","960","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:341,363..342,602(-)","Transfer.PvP01_00_1.final:341363..342602(-)","Transfer.PvP01_00_1.final","1","2","319","960","37393","8.56","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
