"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length"
"PCHAS_0101000","PCHAS_0101000.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:43,752..45,203(+)","lysophospholipase, putative","no","null","PCHAS_0101000","Previous IDs: PC000062.00.0;PC000118.03.0;PCAS_010100;PCHAS_010100","lysophospholipase, putative","01","PCHAS_01_v3:43752..45203(+)","PCHAS_01_v3","434","OG6_100231","27","1","1","1","null","null","forward","protein coding","No","1452"
"PCHAS_0101100","PCHAS_0101100.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:47,138..49,095(+)","reticulocyte binding protein, putative","no","Pc235","PCHAS_0101100","Previous IDs: PC000783.00.0;PCAS_010110;PCHAS_010110","reticulocyte binding protein, putative","01","PCHAS_01_v3:47138..49095(+)","PCHAS_01_v3","8","OG6r1_105298","0","2","2","1","null","null","forward","protein coding","No","1857"
"PCHAS_0101200","PCHAS_0101200.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:50,365..51,801(-)","PIR protein","no","null","PCHAS_0101200","Previous IDs: PC400319.00.0;PC400436.00.0;PCAS_010120;PCHAS_010120","PIR protein","01","PCHAS_01_v3:50365..51801(-)","PCHAS_01_v3","18","OG6r1_100885","0","3","3","1","null","null","reverse","protein coding","No","1056"
"PCHAS_0101300","PCHAS_0101300.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:53,208..53,699(+)","schizont membrane associated cytoadherence protein, putative","no","SMAC","PCHAS_0101300","Previous IDs: PC100051.00.0;PCAS_010130;PCHAS_010130","schizont membrane associated cytoadherence protein, putative","01","PCHAS_01_v3:53208..53699(+)","PCHAS_01_v3","6","OG6r1_107895","0","1","1","1","null","null","forward","protein coding","No","492"
"PCHAS_0101400","PCHAS_0101400.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:55,833..57,248(+)","Plasmodium exported protein, unknown function","no","null","PCHAS_0101400","Previous IDs: PC100859.00.0;PCAS_010140;PCHAS_010140","Plasmodium exported protein, unknown function","01","PCHAS_01_v3:55833..57248(+)","PCHAS_01_v3","5","OG6r1_109828","0","2","2","1","null","null","forward","protein coding","No","1221"
"PCHAS_0101500","PCHAS_0101500.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:58,355..62,524(-)","zinc finger protein, putative","no","null","PCHAS_0101500","Previous IDs: PC000376.00.0;PC000467.00.0;PCAS_010150;PCHAS_010150","zinc finger protein, putative","01","PCHAS_01_v3:58355..62524(-)","PCHAS_01_v3","46","OG6_130927","0","1","1","1","null","null","reverse","protein coding","No","4170"
"PCHAS_0101600","PCHAS_0101600.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:67,036..71,036(+)","ATP-dependent RNA helicase, putative","no","null","PCHAS_0101600","Previous IDs: PC000378.05.0;PC000427.02.0;PC000529.03.0;PCAS_010160;PCHAS_010160","ATP-dependent RNA helicase, putative","01","PCHAS_01_v3:67036..71036(+)","PCHAS_01_v3","88","OG6_100340","1","2","2","1","null","null","forward","protein coding","No","3882"
"PCHAS_0101700","PCHAS_0101700.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:72,154..73,400(+)","MYND-type zinc finger protein, putative","no","null","PCHAS_0101700","Previous IDs: PC000429.02.0;PC300837.00.0;PCAS_010170;PCHAS_010170","MYND-type zinc finger protein, putative","01","PCHAS_01_v3:72154..73400(+)","PCHAS_01_v3","44","OG6_110519","0","3","3","1","null","null","forward","protein coding","No","786"
"PCHAS_0101800","PCHAS_0101800.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:74,377..75,330(+)","liver merozoite formation protein, putative","no","PALM","PCHAS_0101800","Previous IDs: PC000428.02.0;PCAS_010180;PCHAS_010180","liver merozoite formation protein, putative","01","PCHAS_01_v3:74377..75330(+)","PCHAS_01_v3","43","OG6_533115","0","1","1","1","null","null","forward","protein coding","No","954"
"PCHAS_0101900","PCHAS_0101900.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:75,900..79,075(-)","elongation factor G, putative","no","EF-G","PCHAS_0101900","Previous IDs: PC000426.02.0;PCAS_010190;PCHAS_010190","elongation factor G, putative","01","PCHAS_01_v3:75900..79075(-)","PCHAS_01_v3","47","OG6_103657","0","4","4","1","null","null","reverse","protein coding","No","2820"
"PCHAS_0102000","PCHAS_0102000.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:79,765..80,919(+)","geranylgeranyl transferase type-2 subunit beta, putative","no","null","PCHAS_0102000","Previous IDs: PC000430.02.0;PC000969.02.0;PC301049.00.0;PCAS_010200;PCHAS_010200","geranylgeranyl transferase type-2 subunit beta, putative","01","PCHAS_01_v3:79765..80919(+)","PCHAS_01_v3","44","OG6_102449","0","1","1","1","null","null","forward","protein coding","No","1155"
"PCHAS_0102100","PCHAS_0102100.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:81,324..85,700(-)","SAC3 domain-containing protein, putative","no","null","PCHAS_0102100","Previous IDs: PC000233.05.0;PC000968.02.0;PC301497.00.0;PC401629.00.0;PCAS_010210;PCHAS_010210","SAC3 domain-containing protein, putative","01","PCHAS_01_v3:81324..85700(-)","PCHAS_01_v3","44","OG6_101802","0","5","5","1","null","null","reverse","protein coding","No","3552"
"PCHAS_0102200","PCHAS_0102200.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:88,088..89,458(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0102200","Previous IDs: PCHAS_010220","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:88088..89458(-)","PCHAS_01_v3","44","OG6_532987","0","1","1","1","null","null","reverse","protein coding","No","1371"
"PCHAS_0102300","PCHAS_0102300.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:90,072..92,102(+)","JmjC domain-containing protein, putative","no","JmjC2","PCHAS_0102300","Previous IDs: PC000228.03.0;PCAS_010230;PCHAS_010230","JmjC domain-containing protein, putative","01","PCHAS_01_v3:90072..92102(+)","PCHAS_01_v3","36","OG6_106314","0","1","1","1","null","null","forward","protein coding","No","2031"
"PCHAS_0102400","PCHAS_0102400.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:92,496..93,899(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0102400","Previous IDs: PC000383.05.0;PC300993.00.0;PCAS_010240;PCHAS_010240","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:92496..93899(-)","PCHAS_01_v3","37","OG6_532638","0","2","2","1","null","null","reverse","protein coding","No","1281"
"PCHAS_0102500","PCHAS_0102500.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:95,732..97,231(+)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0102500","Previous IDs: PC000506.04.0;PC400519.00.0;PCAS_010250;PCHAS_010250","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:95732..97231(+)","PCHAS_01_v3","6","OG6r1_107878","0","1","1","1","null","null","forward","protein coding","No","1500"
"PCHAS_0102600","PCHAS_0102600.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:98,451..99,917(-)","RNA-binding protein, putative","no","null","PCHAS_0102600","Previous IDs: PC000505.04.0;PCAS_010260;PCHAS_010260","RNA-binding protein, putative","01","PCHAS_01_v3:98451..99917(-)","PCHAS_01_v3","2","OG6_490170","0","1","1","1","null","null","reverse","protein coding","No","1467"
"PCHAS_0102700","PCHAS_0102700.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:102,165..103,589(+)","mitochondrial chaperone BCS1, putative","no","BCS1","PCHAS_0102700","Previous IDs: PC000268.03.0;PCAS_010270;PCHAS_010270","mitochondrial chaperone BCS1, putative","01","PCHAS_01_v3:102165..103589(+)","PCHAS_01_v3","44","OG6_101424","0","1","1","1","null","null","forward","protein coding","No","1425"
"PCHAS_0102800","PCHAS_0102800.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:104,221..105,759(-)","dihydroorotate dehydrogenase, putative","no","DHODH","PCHAS_0102800","Previous IDs: PC000269.03.0;PC300902.00.0;PCAS_010280;PCHAS_010280","dihydroorotate dehydrogenase, putative","01","PCHAS_01_v3:104221..105759(-)","PCHAS_01_v3","44","OG6_101797","0","1","1","1","null","null","reverse","protein coding","No","1539"
"PCHAS_0102900","PCHAS_0102900.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:107,013..109,673(-)","trophozoite exported protein 1, putative","no","TEX1","PCHAS_0102900","Previous IDs: PC000690.00.0;PC000712.04.0;PCAS_010290;PCHAS_010290","trophozoite exported protein 1, putative","01","PCHAS_01_v3:107013..109673(-)","PCHAS_01_v3","44","OG6_532864","0","1","1","1","null","null","reverse","protein coding","No","2661"
"PCHAS_0103000","PCHAS_0103000.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:112,639..113,961(+)","cation/H+ antiporter, putative","no","CAX","PCHAS_0103000","Previous IDs: PC000772.04.0;PC000791.03.0;PC300850.00.0;PC300862.00.0;PCAS_010300;PCHAS_010300","cation/H+ antiporter, putative","01","PCHAS_01_v3:112639..113961(+)","PCHAS_01_v3","44","OG6_103671","0","1","1","1","null","null","forward","protein coding","No","1323"
"PCHAS_0103100","PCHAS_0103100.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:114,624..120,422(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0103100","Previous IDs: PC300352.00.0;PC301344.00.0;PC403399.00.0;PCAS_010310;PCHAS_010310","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:114624..120422(-)","PCHAS_01_v3","33","OG6_104028","1","3","3","1","null","null","reverse","protein coding","No","5511"
"PCHAS_0103200","PCHAS_0103200.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:122,097..123,521(+)","phenylalanine--tRNA ligase, putative","no","null","PCHAS_0103200","Previous IDs: PC000809.01.0;PC300293.00.0;PC301061.00.0;PCAS_010320;PCHAS_010320","phenylalanine--tRNA ligase, putative","01","PCHAS_01_v3:122097..123521(+)","PCHAS_01_v3","44","OG6_102538","0","1","1","1","null","null","forward","protein coding","No","1425"
"PCHAS_0103300","PCHAS_0103300.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:123,636..131,318(-)","centrosomal protein CEP76, putative","no","CEP76","PCHAS_0103300","Previous IDs: PC000436.02.0;PC000810.01.0;PC000840.02.0;PC103017.00.0;PC300638.00.0;PC301060.00.0;PC301526.00.0;PC301831.00.0;PC302413.00.0;PC402308.00.0;PCAS_010330;PCHAS_010330","centrosomal protein CEP76, putative","01","PCHAS_01_v3:123636..131318(-)","PCHAS_01_v3","46","OG6_126374","0","20","20","1","null","null","reverse","protein coding","No","5517"
"PCHAS_0103400","PCHAS_0103400.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:132,070..133,188(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0103400","Previous IDs: PC302227.00.0;PCAS_010340;PCHAS_010340","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:132070..133188(-)","PCHAS_01_v3","44","OG6_122808","0","1","1","1","null","null","reverse","protein coding","No","1119"
"PCHAS_0103500","PCHAS_0103500.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:134,397..138,593(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0103500","Previous IDs: PCHAS_010350","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:134397..138593(-)","PCHAS_01_v3","37","OG6_532423","0","1","1","1","null","null","reverse","protein coding","No","4197"
"PCHAS_0103600","PCHAS_0103600.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:139,634..144,649(-)","AP2 domain transcription factor, putative","no","SIP2","PCHAS_0103600","Previous IDs: PC000219.00.0;PC300185.00.0;PC402060.00.0;PCAS_010360;PCHAS_010360","AP2 domain transcription factor, putative","01","PCHAS_01_v3:139634..144649(-)","PCHAS_01_v3","161","OG6_104256","5","1","1","1","null","null","reverse","protein coding","No","5016"
"PCHAS_0103700","PCHAS_0103700.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:148,343..149,051(+)","mitochondrial ribosomal protein L41, putative","no","null","PCHAS_0103700","Previous IDs: PC000220.00.0;PCAS_010370;PCHAS_010370","mitochondrial ribosomal protein L41, putative","01","PCHAS_01_v3:148343..149051(+)","PCHAS_01_v3","43","OG6_102880","0","3","3","1","null","null","forward","protein coding","No","282"
"PCHAS_0103800","PCHAS_0103800.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:149,718..151,658(+)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0103800","Previous IDs: PC300032.00.0;PC301703.00.0;PCAS_010380;PCHAS_010380","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:149718..151658(+)","PCHAS_01_v3","19","OG6_533591","0","1","1","1","null","null","forward","protein coding","No","1941"
"PCHAS_0103900","PCHAS_0103900.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:152,447..153,508(+)","conserved protein, unknown function","no","null","PCHAS_0103900","Previous IDs: PCHAS_010390","conserved protein, unknown function","01","PCHAS_01_v3:152447..153508(+)","PCHAS_01_v3","44","OG6_146064","0","4","4","1","null","null","forward","protein coding","No","582"
"PCHAS_0104000","PCHAS_0104000.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:156,275..162,595(+)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0104000","Previous IDs: PC000238.02.0;PC001102.02.0;PC101921.00.0;PC301911.00.0;PC401133.00.0;PCAS_010400;PCHAS_010400","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:156275..162595(+)","PCHAS_01_v3","0","OG6r1_330926","0","4","4","1","null","null","forward","protein coding","No","6000"
"PCHAS_0104100","PCHAS_0104100.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:163,139..164,575(-)","glyoxalase I-like protein GILP, putative","no","GILP","PCHAS_0104100","Previous IDs: PC001101.02.0;PCAS_010410;PCHAS_010410","glyoxalase I-like protein GILP, putative","01","PCHAS_01_v3:163139..164575(-)","PCHAS_01_v3","44","OG6_105403","0","6","6","1","null","null","reverse","protein coding","No","930"
"PCHAS_0104200","PCHAS_0104200.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:165,342..169,475(-)","RAP protein, putative","no","null","PCHAS_0104200","Previous IDs: PC000793.00.0;PC108665.00.0;PC300114.00.0;PC300639.00.0;PCAS_010420;PCHAS_010420","RAP protein, putative","01","PCHAS_01_v3:165342..169475(-)","PCHAS_01_v3","44","OG6_533122","0","1","1","1","null","null","reverse","protein coding","No","4134"
"PCHAS_0104300","PCHAS_0104300.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:170,281..170,865(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0104300","Previous IDs: PCHAS_010430","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:170281..170865(-)","PCHAS_01_v3","42","OG6_533036","0","3","3","1","null","null","reverse","protein coding","No","285"
"PCHAS_0104400","PCHAS_0104400.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:171,522..172,106(+)","50S ribosomal protein L24, putative","no","null","PCHAS_0104400","Previous IDs: PC000783.04.0;PCAS_010440;PCHAS_010440","50S ribosomal protein L24, putative","01","PCHAS_01_v3:171522..172106(+)","PCHAS_01_v3","89","OG6_101141","1","1","1","1","null","null","forward","protein coding","No","585"
"PCHAS_0104500","PCHAS_0104500.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:175,385..177,559(+)","RNA-binding protein, putative","no","null","PCHAS_0104500","Previous IDs: PC000063.02.0;PC300047.00.0;PC302571.00.0;PCAS_010450;PCHAS_010450","RNA-binding protein, putative","01","PCHAS_01_v3:175385..177559(+)","PCHAS_01_v3","10","OG6_103496","0","1","1","1","null","null","forward","protein coding","No","2175"
"PCHAS_0104600","PCHAS_0104600.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:178,507..179,852(-)","conserved protein, unknown function","no","null","PCHAS_0104600","Previous IDs: PC000064.02.0;PCAS_010460;PCHAS_010460","conserved protein, unknown function","01","PCHAS_01_v3:178507..179852(-)","PCHAS_01_v3","43","OG6_139472","0","6","6","1","null","null","reverse","protein coding","No","636"
"PCHAS_0104700","PCHAS_0104700.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:180,699..182,151(+)","serine/threonine protein kinase, putative","no","ARK1","PCHAS_0104700","Previous IDs: PC000065.02.0;PC000328.00.0;PCAS_010470;PCHAS_010470","serine/threonine protein kinase, putative","01","PCHAS_01_v3:180699..182151(+)","PCHAS_01_v3","120","OG6_100573","3","4","4","1","null","null","forward","protein coding","No","1062"
"PCHAS_0104800","PCHAS_0104800.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:182,739..183,212(-)","calcium-binding protein, putative","no","null","PCHAS_0104800","Previous IDs: PC000330.00.0;PCAS_010480;PCHAS_010480","calcium-binding protein, putative","01","PCHAS_01_v3:182739..183212(-)","PCHAS_01_v3","43","OG6_116928","0","1","1","1","null","null","reverse","protein coding","No","474"
"PCHAS_0104900","PCHAS_0104900.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:183,416..185,391(-)","cyclin dependent kinase binding protein, putative","no","null","PCHAS_0104900","Previous IDs: PC000329.00.0;PCAS_010490;PCHAS_010490","cyclin dependent kinase binding protein, putative","01","PCHAS_01_v3:183416..185391(-)","PCHAS_01_v3","44","OG6_103855","0","2","2","1","null","null","reverse","protein coding","No","1779"
"PCHAS_0105000","PCHAS_0105000.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:185,951..191,741(-)","nucleoside diphosphate kinase, putative","no","null","PCHAS_0105000","Previous IDs: PC000245.03.0;PC000645.00.0;PC001228.02.0;PC100588.00.0;PC302443.00.0;PCAS_010500;PCHAS_010500","nucleoside diphosphate kinase, putative","01","PCHAS_01_v3:185951..191741(-)","PCHAS_01_v3","46","OG6_107372","0","7","7","1","null","null","reverse","protein coding","No","5010"
"PCHAS_0105100","PCHAS_0105100.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:193,598..194,371(+)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0105100","Previous IDs: PC300302.00.0;PCAS_010510;PCHAS_010510","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:193598..194371(+)","PCHAS_01_v3","44","OG6_532784","0","1","1","1","null","null","forward","protein coding","No","774"
"PCHAS_0105200","PCHAS_0105200.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:194,893..200,427(-)","DNA repair protein RAD50, putative","no","RAD50","PCHAS_0105200","Previous IDs: PC000090.04.0;PC000178.00.0;PC000523.03.0;PCAS_010520;PCHAS_010520","DNA repair protein RAD50, putative","01","PCHAS_01_v3:194893..200427(-)","PCHAS_01_v3","38","OG6_101667","0","1","1","1","null","null","reverse","protein coding","No","5535"
"PCHAS_0105300","PCHAS_0105300.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:203,051..204,521(+)","long chain polyunsaturated fatty acid elongation enzyme, putative","no","null","PCHAS_0105300","Previous IDs: PC301145.00.0;PCAS_010530;PCHAS_010530","long chain polyunsaturated fatty acid elongation enzyme, putative","01","PCHAS_01_v3:203051..204521(+)","PCHAS_01_v3","44","OG6_100254","0","5","5","1","null","null","forward","protein coding","No","867"
"PCHAS_0105400","PCHAS_0105400.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:205,127..207,823(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0105400","Previous IDs: PC000263.05.0;PCAS_010540;PCHAS_010540","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:205127..207823(-)","PCHAS_01_v3","16","OG6r1_101144","0","1","1","1","null","null","reverse","protein coding","No","2697"
"PCHAS_0105500","PCHAS_0105500.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:210,313..212,438(+)","RNA-binding protein, putative","no","null","PCHAS_0105500","Previous IDs: PC000264.05.0;PC302221.00.0;PCAS_010550;PCHAS_010550","RNA-binding protein, putative","01","PCHAS_01_v3:210313..212438(+)","PCHAS_01_v3","42","OG6_185459","0","4","4","1","null","null","forward","protein coding","No","1626"
"PCHAS_0105600","PCHAS_0105600.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:213,386..214,317(-)","ubiquitin-conjugating enzyme E2 PEX4, putative","no","PEX4","PCHAS_0105600","Previous IDs: PC000265.05.0;PCAS_010560;PCHAS_010560","ubiquitin-conjugating enzyme E2 PEX4, putative","01","PCHAS_01_v3:213386..214317(-)","PCHAS_01_v3","44","OG6_106380","0","5","5","1","null","null","reverse","protein coding","No","450"
"PCHAS_0105700","PCHAS_0105700.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:215,927..216,709(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0105700","Previous IDs: PC000876.01.0;PCAS_010570;PCHAS_010570","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:215927..216709(-)","PCHAS_01_v3","44","OG6_533424","0","5","5","1","null","null","reverse","protein coding","No","375"
"PCHAS_0105800","PCHAS_0105800.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:217,705..220,126(-)","polypyrimidine tract-binding protein, putative","no","PTB","PCHAS_0105800","Previous IDs: PC000872.01.0;PC302548.00.0;PCAS_010580;PCHAS_010580","polypyrimidine tract-binding protein, putative","01","PCHAS_01_v3:217705..220126(-)","PCHAS_01_v3","44","OG6_101075","0","5","5","1","null","null","reverse","protein coding","No","1953"
"PCHAS_0105900","PCHAS_0105900.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:221,939..227,343(-)","conserved Plasmodium protein, unknown function","no","null","PCHAS_0105900","Previous IDs: PC000873.01.0;PC402456.00.0;PCAS_010590;PCHAS_010590","conserved Plasmodium protein, unknown function","01","PCHAS_01_v3:221939..227343(-)","PCHAS_01_v3","8","OG6r1_105334","0","2","2","1","null","null","reverse","protein coding","No","5277"
"PCHAS_0106000","PCHAS_0106000.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:229,953..234,466(+)","coatomer alpha subunit, putative","no","null","PCHAS_0106000","Previous IDs: PC000041.02.0;PC000792.04.0;PC302001.00.0;PCAS_010600;PCHAS_010600","coatomer alpha subunit, putative","01","PCHAS_01_v3:229953..234466(+)","PCHAS_01_v3","45","OG6_101600","0","4","4","1","null","null","forward","protein coding","No","4161"
"PCHAS_0106100","PCHAS_0106100.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:235,430..236,080(-)","glutaredoxin-like protein","no","GLP2","PCHAS_0106100","Previous IDs: PC000369.04.0;PC000568.03.0;PCAS_010610;PCHAS_010610","glutaredoxin-like protein","01","PCHAS_01_v3:235430..236080(-)","PCHAS_01_v3","44","OG6_101660","0","1","1","1","null","null","reverse","protein coding","No","651"
"PCHAS_0106200","PCHAS_0106200.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:238,303..241,107(+)","translation initiation factor IF-2, putative","no","null","PCHAS_0106200","Previous IDs: PC000805.02.0;PC301137.00.0;PC302196.00.0;PCAS_010620;PCHAS_010620","translation initiation factor IF-2, putative","01","PCHAS_01_v3:238303..241107(+)","PCHAS_01_v3","45","OG6_101241","0","1","1","1","null","null","forward","protein coding","No","2805"
